node,degree_centrality,betweenness_centrality,eigenvector_centrality
Klorman2014“Musical_Form:_Mapping,0.08385093167701863,0.0,0.00892533933574296
Lavacek2016Review_of_Anna,0.015527950310559004,1.946733432021756e-05,0.0045135179808178105
Schultz2012Tonal_Pairing_and,0.08695652173913043,0.0,0.009833362623524381
Everett2004Parody_with_an,0.040372670807453416,0.0,0.004839396447579181
Perrott1999Review_of_Laurent,0.021739130434782608,0.00022170773185235354,0.007841507418267439
Salley2015Review_of_Joe,0.10248447204968944,0.0012117279688433698,0.011983921910558092
Thurmaier2012Review_of_Vincent,0.20496894409937888,0.00023563811753721136,0.11861430366372117
Byron2006The_Test_Pressings,0.2577639751552795,0.011042896724674895,0.12432005918846753
Smith2014Listening_as_a,0.19875776397515527,0.03114957078270551,0.025647033848349595
Hough2015Elements_of_Style,0.12111801242236024,0.007666834117389584,0.016603658979452908
Hanninen2014<img_style='margin-left:280px'_src,0.10248447204968944,0.008328546420808892,0.028234921484805425
Trinastic2014Dissonant_Harmony_and,0.10248447204968944,0.008691935941733167,0.013799316826981326
Schaffer1996Review_of_Peter,0.018633540372670808,0.0,0.002133102564278993
10.30535/mto.17.3.8,0.23913043478260868,0.019680146021035363,0.025436111972313984
Barolsky2013Conference_Report:_“Performance,0.20496894409937888,0.001466971824700202,0.11835519138966417
Royal1995Review_of_<i>The,0.20807453416149066,0.0005399805683601969,0.11886129981615351
Guido2014Unpacking_the_Box,0.05900621118012422,0.0,0.010493547193748873
Broman1998Report_from_the,0.09627329192546583,0.0024519545729866023,0.009996971596533923
Mastic2015Normative_Wit:_Haydn’s,0.08385093167701863,0.0,0.00892533933574296
Rothstein2008Common-tone_Tonality_in,0.043478260869565216,0.004195029818681765,0.0030200200095341955
Garcia2005On_and_On:,0.024844720496894408,0.0005165631680521431,0.0015382800609375906
J.2013Fraught_with_Ought:,0.20496894409937888,0.0018873137313905387,0.11836900071848863
Roeder1994Response_to_Comments,0.043478260869565216,0.006269592476489028,0.004840476227892374
Baragwanath2008Analytical_Approaches_to,0.2577639751552795,0.010831318069428754,0.12208723800667658
10.30535/mto.22.3.9,0.037267080745341616,0.0025869816196732284,0.0053003894661931205
Agawu1996Analyzing_Music_Under,0.22049689440993786,0.011575461337654816,0.11877539845864188
Scotto2011What_Do_I,0.015527950310559004,0.0,0.0018955129437827408
Kopp2014On_Performing_Chopin’s,0.24844720496894407,0.00606793738495283,0.1240638521802835
Wennerstrom2013Review_of_Matthew,0.23602484472049687,0.002474476349568726,0.12325810623738838
"Cook2005Prompting_Performance:_Text,",0.2515527950310559,0.00809335011332498,0.12402434274685066
10.30535/mto.17.1.8,0.16770186335403725,0.007225527398900762,0.01999439951543548
Smoliar1994Comment_on_John,0.040372670807453416,0.0,0.004839396447579181
Bugallo2014<i>Harmonic</i>_and_<i>Non-Harmonic</i>,0.11490683229813664,0.022447774571916816,0.01400338461162611
Hesselink2013Radiohead’s_“Pyramid_Song”:,0.10869565217391304,0.0003685064056275556,0.0131668703884154
"Koozin1999On_Metaphor,_Technology,",0.024844720496894408,0.0,0.004324635366310485
Hoeckner2001Poet’s_Love_and,0.20186335403726707,0.0,0.11824765800001867
Aziz2015The_Evolution_of,0.003105590062111801,0.0,0.0019394019678576542
Carlson2011Review_of_Alexandra,0.003105590062111801,0.0,1.4273439895533006e-05
Broman1997Report_from_the,0.046583850931677016,0.0,0.005278141493988021
Lundberg2014“To_Let_it,0.06832298136645962,0.002705474787842985,0.010612859451407343
Ramirez2011Review_of_Dermot,0.08385093167701863,0.0,0.011351269524320943
Damschroder1999Review_of_Carl,0.22360248447204967,0.013014829507301911,0.1189338787590953
Rodgers2010Review_of_Matthew,0.2826086956521739,0.019863440899651485,0.12343412750255313
"Scotto2002Transformational_Networks,_Transpositional",0.003105590062111801,0.0,0.00017769532769315295
10.30535/mto.22.1.3.,0.08385093167701863,0.0,0.00892533933574296
Ng2007Review_of_Peter,0.009316770186335404,0.0,0.002286748894024934
Rothstein1995The_Tristan_Chord,0.08385093167701863,0.0,0.011351269524320943
Temperley1999Review_of_Joseph,0.046583850931677016,0.007886297113077036,0.008185399841725288
Hisama2000Life_Outside_the,0.006211180124223602,0.0,0.0020320435809471197
Tan2015Review_of_Eric,0.15217391304347824,0.017511517507470365,0.015796492784024178
"J.2013Pastorals,_Passepieds,_and",0.043478260869565216,0.006269592476489028,0.004840476227892374
10.30535/mto.20.3.6,0.037267080745341616,0.0,0.003001710306591978
Benadon2007Commentary_on_Matthew,0.09937888198757763,0.005395348107913059,0.011358713007072516
Cumming2013Renaissance_Improvisation_and,0.3043478260869565,0.03546069374345166,0.12443031371807806
Koozin2014History_and_Future,0.08695652173913043,0.0,0.009833362623524381
10.30535/mto.21.2.3,0.021739130434782608,0.0,0.004050976478783545
Clercq2016Review_of_Ralf,0.043478260869565216,0.0020130279766324586,0.002977725205811228
Attas2016Review_of_Ron,0.08695652173913043,0.0,0.009833362623524381
Bakulina2014The_Concept_of,0.02795031055900621,0.0,0.0052925353109895285
BaileyShea2013Review_of_Michael,0.006211180124223602,0.0,0.00014243319783485825
Lester1998How_Theorists_Relate,0.015527950310559004,3.943139922320144e-06,0.007253911513092909
Salley2015On_Duration_and,0.003105590062111801,0.0,0.0004737249698734839
Nooshin2013Beyond_the_<i>Radif</i>:,0.07453416149068323,0.0016639788332989253,0.01118679722826832
Vetter2000Review_of_Michelle,0.018633540372670808,0.00031982335398057175,0.0024037522564165897
Gann2014Outside_the_Feedback,0.009316770186335404,0.0,0.00021821933204497598
Meeus1997Music_Theory_and,0.20807453416149066,0.002540798002710557,0.11847143552081776
Murcott2014Tomorrow’s_Music_On,0.012422360248447204,0.00016709879161294495,0.0002793334582331581
"Wild2014Genus,_Species_and",0.040372670807453416,0.006269592476489028,0.0030023800657661076
Malawey2014Strophic_Modification_in,0.09627329192546583,0.0006697362942404332,0.013010645706086685
Amiot2009Discrete_Fourier_Transform,0.003105590062111801,0.0,4.517859423900078e-05
Kraus2009Coaching_Mozart’s_String,0.10248447204968944,0.0009575055185405954,0.012168964393044077
Judd2013“To_Discourse_Learnedly”,0.037267080745341616,0.0,0.003001710306591978
Krebs2014Treading_Robert_Schumann’s,0.20186335403726707,0.0,0.11824765800001867
Lochhead1998Retooling_the_Technique,0.20186335403726707,0.0,0.11824765800001867
10.30535/mto.14.2.2,0.08385093167701863,0.0,0.011351269524320943
Fankhauser2007Review_of_Ralph,0.08695652173913043,0.0,0.009833362623524381
Fyr2012Review_of_Timothy,0.10869565217391304,0.007684642796978957,0.010275444240263434
Rahn1994From_Similarity_to,0.08695652173913043,0.006212682195080842,0.01481926539604735
Yust2012Review_of_Richard,0.018633540372670808,0.0,0.0016258318316912314
James1999Hans_Rott_(1858–1884)—The,0.006211180124223602,0.0,0.0019833525944230983
10.2307/763915,0.009316770186335404,0.0,0.0018783567150928446
Cohen2015Expansive_Form_in,0.08385093167701863,0.0,0.00892533933574296
Willey2014Review_of_Jürgen,0.009316770186335404,0.0,0.00021821933204497598
Leydon2012Clean_as_a,0.015527950310559004,0.0,0.000444103363825385
"Holm-Hudson2002Your_Guitar,_It",0.14285714285714285,0.026203164789045358,0.014681527537587474
BaileyShea2012Musical_Forces_and,0.006211180124223602,0.0,0.00014243319783485825
Hofmann-Engl1999Review_of_W.B.,0.22981366459627328,0.010694036883574471,0.11967450707189789
Takehana2010Review_of_Nicola,0.08695652173913043,0.0,0.009833362623524381
10.30535/mto.15.5.1,0.08695652173913043,0.006269592476489028,0.009303641161189783
Attas2009Metaphors_in_Motion:,0.040372670807453416,0.0012796842183225288,0.008324021670743748
Fieldman2015Review_of_Evan,0.09627329192546583,0.003145934839196595,0.011802265306977379
Smoliar1995Musical_Objects:_,0.046583850931677016,0.0,0.005278141493988021
Murphy2007Considering_Network_Recursion,0.20186335403726707,0.0,0.11824765800001867
Love2015Historical_Hypermetrical_Hearing:,0.06832298136645962,0.0009055172231670367,0.008565613575320619
Clendinning1996Review/Article_of_Miguel,0.16149068322981366,0.00633357093572993,0.017727625588212084
Turner2015Review_of_Markand,0.23602484472049687,0.002474476349568726,0.12325810623738838
Gotham2015Meter_Metrics:_Characterizing,0.08695652173913043,0.004006692851422649,0.012796489718751
10.30535/mto.12.1.1,0.06211180124223602,0.0,0.008633917916046143
Martens2012Rendering_the_Prosaic,0.22360248447204967,0.0055864638742629145,0.11988491022802181
Roeder1993Toward_a_Semiotic,0.23913043478260868,0.021043630519026118,0.11954278753002706
Suurpää2014Review_of_Heather,0.08385093167701863,0.0,0.00892533933574296
Boss2015“Away_with_Motivic,0.015527950310559004,0.0,0.0018955129437827408
Moseley2013Entextualization_and_the,0.13975155279503104,0.008044198819996955,0.03545718675225824
10.30535/mto.17.3.3,0.18944099378881987,0.015336712229887688,0.024355439193397624
10.30535/mto.12.2.2.,0.012422360248447204,0.0,0.00024733631254107756
Hanenberg2016Rock_Modulation_and,0.11180124223602483,0.004928393605079748,0.010648430697082188
Goldenberg2006A_Musical_Gesture,0.021739130434782608,0.0,0.006103565039407663
Heinonen2000Review_of_Walter,0.20496894409937888,0.0010984865120272256,0.11835806065480187
Parncutt1994Review_of_the,0.18633540372670807,0.015541567588754268,0.026221887187556532
Anku2000Circles_and_Time:,0.08385093167701863,0.0,0.009301565091963173
10.30535/mto.18.3.6.,0.015527950310559004,0.0,0.0018955129437827408
Lewin1994Comment_on_John,0.040372670807453416,0.0,0.0048393964475791805
10.30535/mto.22.2.6,0.2515527950310559,0.007673465346793084,0.1242011101048315
10.30535/mto.18.4.3,0.08385093167701863,0.0,0.00892533933574296
Dodson2012Solutions_to_the,0.06211180124223602,0.0,0.008633917916046143
Renwick1994“A_Subject_of,0.06521739130434782,0.0020694127617893487,0.01058273587075209
Brody2013Review_of_Matthew,0.009316770186335404,0.0,0.00040340214830346914
"Gur2008Body,_Forces,_and",0.22360248447204967,0.011420945624462255,0.11904285075804157
10.30535/mto.20.4.1,0.09627329192546583,0.0024519545729866023,0.009996971596533923
Roeder2009Introduction,0.21428571428571427,0.0036040893876516764,0.11883630932055236
