node,degree_centrality,betweenness_centrality,eigenvector_centrality,interval_start,interval_end
Royal1995Review_of_<i>The,0.1304347826086956,0.5,0.0705203131225851,1993,1996
Littlefield1994Code_and_Context:,0.1739130434782608,0.0,0.0132528239507645,1993,1996
Demske1995Response_to_Parncutt,0.3043478260869565,0.125,0.4478370450663187,1993,1996
Demske1995On_Considering_a,0.1739130434782608,0.0,0.2978687214126004,1993,1996
Smoliar1995Musical_Objects:_,0.1739130434782608,0.0,0.3015803633313206,1993,1996
Parncutt1994Review_of_the,0.217391304347826,0.525,0.3131225854391097,1993,1996
Alphonce1994Dissonance_and_Schumann’s,0.0434782608695652,0.0,,1993,1996
10.30535/mto.0.2.1,0.1739130434782608,0.0,0.3015803633313206,1993,1996
Cochrane1995The_Ideal_Four,0.0434782608695652,0.0,0.093640640092359,1993,1996
Smoliar1994Comment_on_John,0.1739130434782608,0.0,0.0132528239507645,1993,1996
Hermann1995Towards_a_New,0.1739130434782608,0.0,0.2978687214126004,1993,1996
Rothstein1995The_Tristan_Chord,0.1739130434782608,0.0,,1993,1996
Cuciurean1995Review_of_Mark,0.0434782608695652,0.0,0.093640640092359,1993,1996
Lindley1993An_Algebraic_Approach,0.1739130434782608,0.0,,1993,1996
Parncutt1995Response_to_Demske:,0.1739130434782608,0.0,0.2978687214126004,1993,1996
Rothgeb1995The_Tristan_Chord:,0.1739130434782608,0.0,,1993,1996
Lewin1994Comment_on_John,0.1739130434782608,0.0,0.0132528239507645,1993,1996
Roeder1993Toward_a_Semiotic,0.2608695652173913,0.4,0.0279493485493136,1993,1996
Roeder1994Response_to_Comments,0.1739130434782608,0.0,0.0132528239507645,1993,1996
Kopp1995On_the_Function,0.1739130434782608,0.0,,1993,1996
Renwick1994“A_Subject_of,0.0434782608695652,0.0,,1993,1996
Code1995Listening_for_Schubert’s,0.0869565217391304,0.0,0.0192714408955154,1993,1996
Robison1994Modifying_Interval-Class_Vectors,0.1739130434782608,0.0,,1993,1996
Rahn1994From_Similarity_to,0.3913043478260869,0.3666666666666666,0.4784894078934658,1993,1996
Agmon1997The_Bridges_that,0.2063492063492063,0.0898305084745762,0.0070568722690513,1996,1999
Littlefield1994Code_and_Context:,0.1111111111111111,0.0,0.0565155571636397,1996,1999
McNamee1997Publishing_and_Pedagogy,0.0158730158730158,0.0,,1996,1999
"Judd1994Composers,_performers,_and",0.0634920634920634,0.0075988700564971,0.0054805506409863,1996,1999
Smoliar1995Musical_Objects:_,0.1269841269841269,0.0,0.0478110772533352,1996,1999
Broman1997Report_from_the,0.1269841269841269,0.0,0.0478110772533352,1996,1999
Alphonce1994Dissonance_and_Schumann’s,0.1111111111111111,0.0,0.0064785863309237,1996,1999
10.2307/763915,0.0317460317460317,0.0,0.0181853719038901,1996,1999
Hermann1995Towards_a_New,0.0793650793650793,0.0,0.0322387264150612,1996,1999
"Taylor1997Chopin,_Pygmies,_and",0.0634920634920634,0.0,0.0297141624446145,1996,1999
Rahn1998Practical_Aspects_of,0.2539682539682539,0.2935593220338983,0.0515171966644189,1996,1999
Morse1997To_Rosemary_Killam:,0.2539682539682539,0.0655367231638418,0.2450523313060174,1996,1999
Parncutt1995Response_to_Demske:,0.0793650793650793,0.0,0.0322387264150612,1996,1999
Marvin1997Review_of_Daniel,0.0634920634920634,0.0,0.0297141624446145,1996,1999
Burnham1996Theorists_and_“The,0.0158730158730158,0.0,,1996,1999
Lewin1994Comment_on_John,0.1111111111111111,0.0,0.0565155571636397,1996,1999
Hermann1997Reflexive_Postmodern_Anthropology,0.2539682539682539,0.0554896421845574,0.2451179616024164,1996,1999
