node,degree_centrality,betweenness_centrality,eigenvector_centrality
"Klorman, Edward",0.0340632603406326,0.00011655860712464486,6.632558737371349e-19
"Guerrero, Jeannie Ma.",0.0024330900243309003,0.0,2.6530234949524032e-19
"Murphy, Nancy",0.004866180048661801,0.0,9.651643249353231e-31
"Ohriner, Mitchell S.",0.024330900243309004,0.005895732081715916,0.002500551340473798
"Schultz, Rob",0.004866180048661801,0.0,9.651643249353231e-31
"Ofcarcik, Judith",0.0024330900243309003,0.0,
"Burns, Lori",0.0413625304136253,0.0013625388962316186,0.02447626559621468
"McCreless, Patrick",0.012165450121654502,0.0,0.017239377236252015
"Gotham, Mark",0.014598540145985401,0.01064133251464788,0.0011580177720482711
"Miller, Brian A.",0.0024330900243309003,0.0,9.651643249353231e-31
"Cubero, Diego",0.004866180048661801,0.0,9.651643249353231e-31
"McCandless, Gregory R.",0.024330900243309004,0.00918610177370285,0.0008302897209266581
"Salley, Keith",0.029197080291970802,0.0003760229231927345,0.0027122788291932248
"Kaminsky, Peter",0.012165450121654502,0.0033160229925728577,4.625961048446359e-05
"Smith, Jordan B. L.",0.012165450121654502,0.0,1.303793886175574e-12
"Schankler, Isaac",0.012165450121654502,0.0,1.303793886175574e-12
"Chew, Elaine",0.012165450121654502,0.0,1.303793886175574e-12
"Heetderks, David",0.012165450121654502,0.0,9.651643249353231e-31
"Hough, Matthew T.",0.0024330900243309003,0.0,9.651643249353231e-31
"Rockwell, Joti",0.012165450121654502,0.0,1.0612098010499914e-18
"Rings, Steven",0.03649635036496351,0.005321611561503745,5.306047451649072e-19
"Lester, Joel",0.012165450121654502,0.0,0.0004714432497678646
"Shaffer, Kris P.",0.024330900243309004,0.00013989212102419633,0.0006669075951075763
"Nobile, Drew F.",0.026763990267639905,0.0018050800126271826,0.0002614312003774444
"Hilewicz, Orit",0.009732360097323601,0.0018863067919671693,2.7214738470201305e-26
"Remeš, Derek",0.004866180048661801,0.0,9.651643249353231e-31
"Jakubowski, Joseph R",0.004866180048661801,0.0,9.651643249353231e-31
"Clayton, Martin",0.004866180048661801,0.0,9.651643249353231e-31
"Biamonte, Nicole",0.0681265206812652,0.010314656204144075,0.002989470776457724
"Barolsky, Daniel",0.031630170316301706,2.1854738835870913e-05,6.6325587373616985e-19
"Schmalfeldt, Janet",0.026763990267639905,0.0009118282703188364,0.017239377236252018
"Kovaciny, Stephen M.",0.0024330900243309003,0.0,9.651643249353231e-31
"Guido, Massimiliano",0.009732360097323601,0.0,1.047293456057029e-14
"Schubert, Peter",0.0170316301703163,0.0002565172376493131,1.4395668276810848e-14
"Cook, Robert C.",0.0024330900243309003,0.0,3.7641408672477604e-29
"Nemire, Julie A.",0.0024330900243309003,0.0,2.6530234949524032e-19
"Hannaford, Marc",0.014598540145985401,0.000815910249872514,3.7641408672477604e-29
"Mastic, Timothy R.",0.0024330900243309003,0.0,
"Koslovsky, John",0.0024330900243309003,0.0,
"Schubert, Peter N.",0.004866180048661801,0.0,7.431765302001987e-29
"Noble, Jason D. K.",0.009732360097323601,0.0,0.08601219228635383
"Rothstein, William",0.0072992700729927005,0.0,0.00137558011841908
"Garcia, Luis-Manuel",0.0072992700729927005,0.0,1.1099389736756218e-28
"O’Donnell, Shaugn",0.0024330900243309003,0.0,3.7641408672477604e-29
"Roeder, John",0.03649635036496351,0.005322600228260606,0.022338265229998204
"Traut, Donald G.",0.0024330900243309003,0.0,9.651643249353231e-31
"Ewell, Philip A.",0.09489051094890512,0.04427755201340108,0.01152661899248618
"Mitchell, Nathaniel",0.026763990267639905,0.0,0.35838413451832557
"Karpinski, Gary S.",0.012165450121654502,2.9139651781161215e-05,1.955690829263361e-12
"Rusch, René",0.0340632603406326,0.0021426143124256333,0.0032109012715032244
"Stover, Chris",0.03649635036496351,0.0004243461790631602,0.0027122788291932248
"Agawu, Kofi",0.0072992700729927005,0.0,0.017239377236252015
"Levy, Benjamin R.",0.004866180048661801,0.0,2.6530234949524032e-19
"Burns, Lori A.",0.029197080291970802,0.0005537590308479792,0.008673928373512751
"Lafrance, Marc",0.03649635036496351,0.0005537590308479792,0.008673928373512751
"M.A., Laura Hawley",0.029197080291970802,0.0005537590308479792,0.008673928373512751
"Kopp, David",0.012165450121654502,0.0,9.651643249353231e-31
"Stoia, Nicholas",0.0072992700729927005,0.0,0.0006916747002574175
"Cook, Nicholas",0.0340632603406326,0.0013732060901872224,0.004012385309846304
"Osborn, Brad",0.009732360097323601,0.0,0.0018314530044094514
"Temperley, David",0.07542579075425791,0.003797260872732571,0.0022989103129063973
"Bugallo, Helena",0.004866180048661801,0.0,5.306046989895155e-19
"Adams, Kyle",0.0705596107055961,0.03184006473763885,0.00518778450171679
"Hesselink, Nathan D.",0.004866180048661801,0.0,0.0009648795361617387
"Koozin, Timothy",0.11678832116788321,0.035204683533524544,0.08619603277667802
"Childs, Adrian P.",0.0072992700729927005,0.0,2.657290419411931e-26
"Neidhöfer, Christoph",0.004866180048661801,1.4569825890580608e-05,2.6530234949524032e-19
"Hoeckner, Berthold",0.0024330900243309003,0.0,0.0004551840005516119
"Momii, Toru",0.021897810218978103,0.00016269638911148345,5.306046989895155e-19
"Chiu, Matt",0.0024330900243309003,0.0,
"Waters, Keith",0.009732360097323601,0.0,1.0743158608945631e-11
"Margulis, Elizabeth Hellmuth",0.026763990267639905,0.0,0.35838413451832557
"Miller, Natalie",0.026763990267639905,0.0,0.35838413451832557
"Windholz, Mauro Orsini",0.026763990267639905,0.0,0.35838413451832557
"Williams, Jamal",0.026763990267639905,0.0,0.35838413451832557
"McAuley, J. Devin",0.026763990267639905,0.0,0.35838413451832557
"Rodgers, Stephen",0.019464720194647202,0.00028411160486632183,1.257042471200743e-11
"Scotto, Ciro G.",0.004866180048661801,0.0,0.004468061041044754
"Covach, John R.",0.004866180048661801,0.0,0.01778260489513584
"Scherzinger, Martin",0.0024330900243309003,0.0,2.7178062225853765e-26
"Micchelli, Mark",0.031630170316301706,0.0,9.651643249353231e-31
"Richards, Mark",0.051094890510948905,0.011035465873740795,0.00023010010276434823
"Ng, Samuel",0.0072992700729927005,0.0,9.651643249353231e-31
"Link, John",0.004866180048661801,0.0,9.651643249353231e-31
"Ferrandino, Matthew E.",0.0024330900243309003,0.0,3.7641408672477604e-29
"Duinker, Ben",0.038929440389294405,0.026634451769222668,0.0009162352090136718
"Hisama, Ellie M.",0.0024330900243309003,0.0,0.0004551840005516119
"Williams, Justin A.",0.012165450121654502,0.00019062188873509626,0.0022197676305233103
"Boone, Christine",0.026763990267639905,0.0036646281524987745,0.0015016152017142074
"Bazayev, Inessa",0.024330900243309004,0.0019122896481387048,0.00019077325065036219
"Benadon, Fernando",0.004866180048661801,3.642456472645152e-05,1.767891493984031e-26
"Cumming, Julie E.",0.031630170316301706,0.00041524003788154733,3.332079902482105e-07
"Shupe, Abigail",0.004866180048661801,0.0,9.651643249353231e-31
"Shaftel, Matthew",0.004866180048661801,0.0,0.000367680984559766
"Martinkus, Caitlin G.",0.0024330900243309003,0.0,9.651643249353231e-31
"Michaelsen, Garrett",0.012165450121654502,0.00011048784633690293,7.431765302001987e-29
"Gjerdingen, Robert",0.024330900243309004,0.0,3.574836423869276e-15
"Bourne, Janet",0.031630170316301706,0.00011655860712464486,3.574836423869278e-15
"Barna, Alyssa",0.014598540145985401,0.0,9.651643249353231e-31
"Clercq, Trevor de",0.08759124087591241,0.005878681916417765,3.081769689518485e-27
"Attas, Robin",0.046228710462287104,0.0325973438102818,0.003654623766548053
"Bakulina, Ellen",0.014598540145985401,0.004771617979165149,0.0009150003851396464
"BaileyShea, Matt",0.0024330900243309003,0.0,9.651643249353231e-31
"Wen, Eric",0.0024330900243309003,0.0,5.306046996313498e-19
"Ho, Jocelyn",0.004866180048661801,0.0,9.651643249353231e-31
"Llorens, Ana",0.0170316301703163,0.0008960442922707072,3.7641408672477604e-29
"Kahrs, Noah",0.0072992700729927005,0.0002950389742842573,3.7641408672477604e-29
"Nooshin, Laudan",0.004866180048661801,0.0,8.610378799656668e-09
"Hook, Julian",0.004866180048661801,0.0,0.000183840492279883
"Covach, John",0.012165450121654502,0.0,0.017779860911595353
"Hier, David",0.0072992700729927005,0.0,9.651643249353231e-31
"Gann, Kyle",0.0024330900243309003,0.0,2.6530234949524032e-19
"Cox, Arnie",0.0340632603406326,0.00023311721424928972,0.08601219228439815
"Johnson, Timothy A.",0.0024330900243309003,0.0,0.017239377236252015
"Fyr, Kyle",0.009732360097323601,0.0,9.651643249353231e-31
"Rahn, Jay",0.0024330900243309003,0.0,3.7641408672477604e-29
"Killam, Rosemary N.",0.0024330900243309003,0.0,0.017239377236252015
"Murcott, Dominic",0.0170316301703163,0.0010417425511765133,2.6530234949524032e-19
"Wild, Jonathan",0.0024330900243309003,0.0,5.306077882112388e-19
"Hepokoski, James",0.004866180048661801,0.0,1.1938605821148043e-18
"Malawey, Victoria",0.0024330900243309003,0.0,3.7641408672477604e-29
"McFarland, Mark",0.0072992700729927005,4.3709477671741826e-05,4.9505670281596376e-12
"Amiot, Emmanuel",0.0072992700729927005,0.0,
"Wadsworth, Benjamin K.",0.0024330900243309003,0.0,
"Jenkins, J. Daniel",0.0072992700729927005,7.284912945290304e-06,7.431765302001987e-29
"Lochhead, Judith",0.0024330900243309003,0.0,0.017239377236252015
"Spreadborough, Kristal",0.004866180048661801,0.0,3.7641408672477604e-29
"Yust, Jason",0.009732360097323601,0.0,
"London, Justin",0.024330900243309004,0.01943611304797289,0.0022731989806871215
"Rabinovitch, Gilad",0.058394160583941604,0.0015930890459192346,6.136408352703789e-16
"Fankhauser, Gabe",0.004866180048661801,0.0,
"Snodgrass, Jennifer Sterling",0.004866180048661801,0.0,
"Johnston, Blair",0.012165450121654502,0.00693450863262184,0.004572856941730392
"Callahan, Michael R.",0.038929440389294405,0.010168114790756288,0.0010858025575513938
"Guez, Jonathan",0.0072992700729927005,0.0,9.651643249353231e-31
"Buchler, Michael",0.019464720194647202,0.0,9.651643249353231e-31
"Boyle, Antares",0.046228710462287104,0.00551787058525603,0.007624794537703022
"Shanahan, Daniel",0.0024330900243309003,0.0,2.5272859927567565e-15
"Kozak, Mariusz",0.031630170316301706,0.006189747699181662,0.43006096142199063
"Martin, Nathan John",0.004866180048661801,0.0008960442922707073,3.7641408672477604e-29
"Stroud, Cara",0.024330900243309004,9.470386828877395e-05,3.7641408672477604e-29
"Hutchinson, Kyle",0.014598540145985401,6.435006435006435e-05,2.6530234949524032e-19
"Poon, Matthew",0.009732360097323601,0.0,2.6530234949524032e-19
"Beaudoin, Richard",0.0024330900243309003,0.0,9.651643249353231e-31
"Fillerup, Jessie",0.004866180048661801,0.0,7.431765302001987e-29
"Brinkman, Alexander R.",0.004866180048661801,0.0,
"Marvin, Elizabeth W.",0.004866180048661801,0.0,
"Forrest, David L.",0.019464720194647202,0.0007549598115635851,3.946460408228039e-26
"Guck, Marion",0.0024330900243309003,0.0,8.858278174256387e-27
"Robison, Brian",0.004866180048661801,7.284912945290304e-06,3.7641408672477604e-29
"Sherrill, Paul",0.031630170316301706,0.0009457031155144362,0.007624794537703275
"Cohen, Gilad",0.004866180048661801,0.0,9.651643249353231e-31
"Willey, Robert",0.0072992700729927005,0.0,2.6530234949524032e-19
"Leydon, Rebecca",0.046228710462287104,0.0319538483419885,0.02285682657727737
"Holm-Hudson, Kevin J.",0.0024330900243309003,0.0,3.7641408672477604e-29
"Lumsden, Rachel",0.0024330900243309003,0.0,2.7178062225853765e-26
"BaileyShea, Matthew L.",0.0170316301703163,0.00027439838760593473,1.5652838620217238e-17
"Tenzer, Michael S.",0.0024330900243309003,0.0,3.7641408672477604e-29
"Cairns, Zachary",0.004866180048661801,0.0,9.651643249353231e-31
"Maus, Fred Everett",0.0024330900243309003,0.0,0.000732394716733788
"Samarotto, Frank",0.012165450121654502,0.0,5.306046997413784e-19
"Stoecker, Philip",0.004866180048661801,0.0,3.7641408672477604e-29
"Willner, Channan",0.0024330900243309003,0.0,0.0005984771507983449
"Sly, Gordon",0.004866180048661801,0.0,
"Murphy, Scott",0.024330900243309004,0.007967769463726336,0.004821575619213439
"Love, Stefan Caris",0.0024330900243309003,0.0,0.00018312345792952873
"Osborne, Tyler",0.009732360097323601,0.0,5.792591580786003e-12
"Woodruff, Eliot Ghofur",0.0024330900243309003,0.0,7.161519291020094e-28
"Heyer, David J.",0.0072992700729927005,5.827930356232243e-05,7.231843400631171e-12
"Martens, Daniel Barolsky and Peter",0.0024330900243309003,0.0,9.651643249353231e-31
"Tenzer, Michael",0.0024330900243309003,0.0,9.651643249353231e-31
"Hatten, Robert S.",0.021897810218978103,0.0002173332362011607,1.618344331920772e-17
"Jong, Karst de",0.0072992700729927005,0.0,2.6530234949524032e-19
"Noll, Thomas",0.0072992700729927005,0.0,2.6530234949524032e-19
"Moseley, Roger",0.014598540145985401,5.099439061703213e-05,8.610378799656668e-09
"Doll, Christopher",0.024330900243309004,0.00018042301061168978,0.0003386088631298742
"Klumpenhouwer, Henry",0.014598540145985401,0.0,0.017239377236252015
"Carter-Ényì, Aaron",0.0170316301703163,1.0927369417935457e-05,4.3390959583264353e-16
"Carter, David S.",0.0170316301703163,0.0,9.651643249353231e-31
"Hanenberg, Scott J.",0.021897810218978103,0.0,9.651643249353231e-31
"Goldenberg, Yosef",0.014598540145985401,0.0011625662569058795,5.306046990261917e-19
"Smither, Sean R.",0.021897810218978103,0.0005733226487943469,3.7641408672477604e-29
"Heinonen, Yrjo",0.0024330900243309003,0.0,4.625961048446359e-05
"Damschroder, David",0.0024330900243309003,0.0,3.7641408672477604e-29
"Hahn, Joshua W.",0.0072992700729927005,0.0,9.651643249353231e-31
"Martin, Henry",0.024330900243309004,0.0003715305602098055,1.0743158608945631e-11
"Anku, Willie",0.012165450121654502,0.0,0.0007098880932032615
"Zayaruznaya, Anna",0.0072992700729927005,0.0,9.778454146316805e-13
"Maler, Anabel",0.029197080291970802,0.0005018090867147472,0.0002172574091336895
"Komaniecki, Robert",0.026763990267639905,0.0012283577377917006,0.0010831735222288585
"Aaslid, Vilde",0.012165450121654502,0.0,9.651643249353231e-31
"Kallis, Vasilis",0.0024330900243309003,0.0,
"Horlacher, Gretchen G.",0.0024330900243309003,0.0,0.00016628573082284065
"Leong, Daphne",0.05352798053527981,0.0030645200456521204,0.0012933831148838227
"Baker, Ben",0.014598540145985401,0.0,9.651643249353231e-31
"Dodson, Alan",0.009732360097323601,8.741895534348365e-05,1.4313386938790842e-27
"Montague, Eugene",0.014598540145985401,1.2141521575483839e-05,1.0612093980147423e-18
