node,degree_centrality,betweenness_centrality,eigenvector_centrality
"Klorman, Edward",0.026763990267639905,0.00011655860712464486,6.632570503500507e-19
"Guerrero, Jeannie Ma.",0.0024330900243309003,0.0,2.653028201404062e-19
"Murphy, Nancy",0.004866180048661801,0.0,9.651660371324622e-31
"Ohriner, Mitchell S.",0.021897810218978103,0.005895974912147427,0.0025005502045071164
"Schultz, Rob",0.004866180048661801,0.0,9.651660371324622e-31
"Ofcarcik, Judith",0.0024330900243309003,0.0,
"Burns, Lori",0.029197080291970802,0.0013625388962316186,0.02447628836579338
"McCreless, Patrick",0.004866180048661801,0.0,0.017239407470276445
"Gotham, Mark",0.014598540145985401,0.01064133251464788,0.0011580183422935327
"Miller, Brian A.",0.0024330900243309003,0.0,9.651660371324622e-31
"Cubero, Diego",0.004866180048661801,0.0,9.651660371324622e-31
"McCandless, Gregory R.",0.024330900243309004,0.00918610177370285,0.0008302895765102613
"Salley, Keith",0.024330900243309004,0.0003760229231927345,0.00271227816025824
"Kaminsky, Peter",0.012165450121654502,0.0033160229925728577,4.6259203268666695e-05
"Smith, Jordan B. L.",0.012165450121654502,0.0,1.3037961991000208e-12
"Schankler, Isaac",0.012165450121654502,0.0,1.3037961991000208e-12
"Chew, Elaine",0.012165450121654502,0.0,1.3037961991000208e-12
"Heetderks, David",0.0072992700729927005,0.0,9.651660371324622e-31
"Hough, Matthew T.",0.0024330900243309003,0.0,9.651660371324622e-31
"Rockwell, Joti",0.012165450121654502,0.0,1.0612116836313695e-18
"Rings, Steven",0.0340632603406326,0.005325861094055163,5.3060568577680905e-19
"Lester, Joel",0.012165450121654502,0.0,0.0004714431892564114
"Shaffer, Kris P.",0.024330900243309004,0.00013989212102419633,0.0006668964700963587
"Nobile, Drew F.",0.026763990267639905,0.002822539520652728,0.00026142999127955956
"Hilewicz, Orit",0.009732360097323601,0.0018644520531312984,2.7214786749024057e-26
"Remeš, Derek",0.004866180048661801,0.0,9.651660371324622e-31
"Jakubowski, Joseph R",0.004866180048661801,0.0,9.651660371324622e-31
"Clayton, Martin",0.004866180048661801,0.0,9.651660371324622e-31
"Biamonte, Nicole",0.0681265206812652,0.010314656204144075,0.0029894719403556636
"Barolsky, Daniel",0.021897810218978103,2.1854738835870913e-05,6.632570503490856e-19
"Schmalfeldt, Janet",0.0170316301703163,0.0009142565746339332,0.017239407470276445
"Kovaciny, Stephen M.",0.0024330900243309003,0.0,9.651660371324622e-31
"Guido, Massimiliano",0.009732360097323601,0.0,1.0472953139508748e-14
"Schubert, Peter",0.0170316301703163,0.0002565172376493131,1.4395693814661147e-14
"Cook, Robert C.",0.0024330900243309003,0.0,3.7641475448166016e-29
"Nemire, Julie A.",0.0024330900243309003,0.0,2.653028201404062e-19
"Hannaford, Marc",0.014598540145985401,0.000815910249872514,3.7641475448166016e-29
"Mastic, Timothy R.",0.0024330900243309003,0.0,
"Koslovsky, John",0.0024330900243309003,0.0,
"Schubert, Peter N.",0.004866180048661801,0.0,7.431778485919965e-29
