node,degree_centrality,betweenness_centrality,eigenvector_centrality
Klumpenhouwer1994Some_Remarks_on,0.1,0.0,
Littlefield1994Code_and_Context:,0.1,0.0,
Hermann1995Towards_a_New,0.30000000000000004,1.0,0.707106878039843
Roeder1993Toward_a_Semiotic,0.1,0.0,
Demske1995On_Considering_a,0.1,0.0,0.40824823454557924
Robison1995Category_Structures_and,0.2,0.0,
Robison1994Modifying_Interval-Class_Vectors,0.1,0.0,0.40824823454557924
Krims1995On_the_Fear,0.1,0.0,
Zbikowski1995Theories_of_Categorization,0.2,0.0,
"Zbikowski1995Response_to_Robison,",0.2,0.0,
Rahn1994From_Similarity_to,0.1,0.0,0.40824823454557924
