node,degree_centrality,betweenness_centrality,eigenvector_centrality,interval_start,interval_end
Klumpenhouwer1994Some_Remarks_on,0.1,0.0,,1993,1996
Littlefield1994Code_and_Context:,0.1,0.0,,1993,1996
Demske1995On_Considering_a,0.1,0.0,0.4082482345455792,1993,1996
Hermann1995Towards_a_New,0.3,1.0,0.707106878039843,1993,1996
Krims1995On_the_Fear,0.1,0.0,,1993,1996
Robison1995Category_Structures_and,0.2,0.0,,1993,1996
Zbikowski1995Theories_of_Categorization,0.2,0.0,,1993,1996
Roeder1993Toward_a_Semiotic,0.1,0.0,,1993,1996
"Zbikowski1995Response_to_Robison,",0.2,0.0,,1993,1996
Robison1994Modifying_Interval-Class_Vectors,0.1,0.0,0.4082482345455792,1993,1996
Rahn1994From_Similarity_to,0.1,0.0,0.4082482345455792,1993,1996
Klumpenhouwer1994Some_Remarks_on,0.1,0.0,,1996,1999
Littlefield1994Code_and_Context:,0.1,0.0,,1996,1999
Hermann1995Towards_a_New,0.3,1.0,0.707106878039843,1996,1999
Roeder1993Toward_a_Semiotic,0.1,0.0,,1996,1999
Demske1995On_Considering_a,0.1,0.0,0.4082482345455792,1996,1999
Robison1995Category_Structures_and,0.2,0.0,,1996,1999
Robison1994Modifying_Interval-Class_Vectors,0.1,0.0,0.4082482345455792,1996,1999
Krims1995On_the_Fear,0.1,0.0,,1996,1999
Zbikowski1995Theories_of_Categorization,0.2,0.0,,1996,1999
"Zbikowski1995Response_to_Robison,",0.2,0.0,,1996,1999
Rahn1994From_Similarity_to,0.1,0.0,0.4082482345455792,1996,1999
Klumpenhouwer1994Some_Remarks_on,0.1,0.0,,1999,2002
Littlefield1994Code_and_Context:,0.1,0.0,,1999,2002
Hermann1995Towards_a_New,0.3,1.0,0.707106878039843,1999,2002
Roeder1993Toward_a_Semiotic,0.1,0.0,,1999,2002
Demske1995On_Considering_a,0.1,0.0,0.4082482345455792,1999,2002
Robison1995Category_Structures_and,0.2,0.0,,1999,2002
Robison1994Modifying_Interval-Class_Vectors,0.1,0.0,0.4082482345455792,1999,2002
Krims1995On_the_Fear,0.1,0.0,,1999,2002
Zbikowski1995Theories_of_Categorization,0.2,0.0,,1999,2002
"Zbikowski1995Response_to_Robison,",0.2,0.0,,1999,2002
Rahn1994From_Similarity_to,0.1,0.0,0.4082482345455792,1999,2002
Klumpenhouwer1994Some_Remarks_on,0.1,0.0,,2002,2005
Littlefield1994Code_and_Context:,0.1,0.0,,2002,2005
Hermann1995Towards_a_New,0.3,1.0,0.707106878039843,2002,2005
Roeder1993Toward_a_Semiotic,0.1,0.0,,2002,2005
Demske1995On_Considering_a,0.1,0.0,0.4082482345455792,2002,2005
Robison1995Category_Structures_and,0.2,0.0,,2002,2005
Robison1994Modifying_Interval-Class_Vectors,0.1,0.0,0.4082482345455792,2002,2005
Krims1995On_the_Fear,0.1,0.0,,2002,2005
Zbikowski1995Theories_of_Categorization,0.2,0.0,,2002,2005
"Zbikowski1995Response_to_Robison,",0.2,0.0,,2002,2005
Rahn1994From_Similarity_to,0.1,0.0,0.4082482345455792,2002,2005
Klumpenhouwer1994Some_Remarks_on,0.03125,0.0,,2005,2008
Littlefield1994Code_and_Context:,0.03125,0.0,,2005,2008
Neidhöfer2007Bruno_Maderna’s_Serial,0.03125,0.0,,2005,2008
Tymoczko2007Recasting_K-nets,0.125,0.0,0.447213595499958,2005,2008
Hermann1995Towards_a_New,0.09375,0.0,,2005,2008
Marion2007Debussy_and_Recollection:,0.03125,0.0,,2005,2008
Samplaski2004Interval-Classes_and_Psychological,0.03125,0.0,,2005,2008
Roeder1993Toward_a_Semiotic,0.03125,0.0,,2005,2008
Lester1998How_Theorists_Relate,0.03125,0.0,,2005,2008
Spicer2005Review_of_Walter,0.125,0.0,,2005,2008
Guerrero2006Serial_Intervention_in,0.03125,0.0,,2005,2008
Demske1995On_Considering_a,0.03125,0.0,,2005,2008
Leong2005Virtuosity_in_Babbitt’s,0.03125,0.0,,2005,2008
Anku2000Circles_and_Time:,0.03125,0.0,,2005,2008
Stoecker2007Without_a_Safety,0.125,0.0,0.447213595499958,2005,2008
Robison1995Category_Structures_and,0.0625,0.0,,2005,2008
Nolan2007Thoughts_on_Klumpenhouwer,0.125,0.0,0.447213595499958,2005,2008
Isaacson1996Issues_in_the,0.03125,0.0,,2005,2008
Rothgeb1995The_Tristan_Chord:,0.03125,0.0,,2005,2008
Samplaski2005Mapping_the_Geometries,0.0625,0.0,,2005,2008
Robison1994Modifying_Interval-Class_Vectors,0.03125,0.0,,2005,2008
Everett2004Making_Sense_of,0.03125,0.0,,2005,2008
Leong2005The_Performer’s_Voice:,0.0625,0.0,,2005,2008
Buchler2007Reconsidering_Klumpenhouwer_Networks,0.125,0.0,0.447213595499958,2005,2008
Kaminsky2005Review_of_<i>Beatlestudies,0.03125,0.0,,2005,2008
Krims1995On_the_Fear,0.03125,0.0,,2005,2008
Zbikowski1995Theories_of_Categorization,0.0625,0.0,,2005,2008
Benadon2007A_Circular_Plot,0.03125,0.0,,2005,2008
Losada2007K-nets_and_Hierarchical,0.125,0.0,0.447213595499958,2005,2008
Everett2001Review_of_Richard,0.03125,0.0,,2005,2008
"Zbikowski1995Response_to_Robison,",0.0625,0.0,,2005,2008
Heinonen2000Review_of_Walter,0.03125,0.0,,2005,2008
Rahn1994From_Similarity_to,0.03125,0.0,,2005,2008
Littlefield1994Code_and_Context:,0.0140845070422535,0.0,,2008,2011
10.30535/mto.14.2.3,0.0140845070422535,0.0,,2008,2011
Ravenscroft2010Chair’s_Introduction_to,0.0140845070422535,0.0,,2008,2011
10.30535/mto.15.5.1,0.0140845070422535,0.0,,2008,2011
Lester1998How_Theorists_Relate,0.0140845070422535,0.0,,2008,2011
Demske1995On_Considering_a,0.0140845070422535,0.0,,2008,2011
Leong2005Virtuosity_in_Babbitt’s,0.0140845070422535,0.0,,2008,2011
Anku2000Circles_and_Time:,0.0704225352112676,0.0,,2008,2011
Stoecker2007Without_a_Safety,0.0845070422535211,0.0,0.3565683066141908,2008,2011
Samplaski2005Mapping_the_Geometries,0.028169014084507,0.0,,2008,2011
Leong2005The_Performer’s_Voice:,0.028169014084507,0.0,,2008,2011
Roeder2009Constructing_Transformational_Signification:,0.1549295774647887,0.5523809523809524,0.4086492381175928,2008,2011
Buchler2007Reconsidering_Klumpenhouwer_Networks,0.0845070422535211,0.0,0.3565683066141908,2008,2011
"Gur2008Body,_Forces,_and",0.0140845070422535,0.0,,2008,2011
Sturman2010Commentary_on_“Rhythm:,0.0985915492957746,0.0,,2008,2011
Jenkins2010After_the_Harvest:,0.0140845070422535,0.0,,2008,2011
Heinonen2000Review_of_Walter,0.0140845070422535,0.0,,2008,2011
Williams2009Beats_and_Flows:,0.0422535211267605,0.0,,2008,2011
Tymoczko2007Recasting_K-nets,0.0845070422535211,0.0,0.3565683066141908,2008,2011
Hermann1995Towards_a_New,0.0422535211267605,0.0,,2008,2011
