node,degree_centrality,betweenness_centrality,eigenvector_centrality
Klorman2014“Musical_Form:_Mapping,0.03317535545023697,0.008402682864322782,0.036257473104241905
Guerrero2006Serial_Intervention_in,0.002369668246445498,0.0,
10.30535/mto.18.1.6,0.009478672985781991,0.0008150014613078558,0.006141072425285442
Schultz2012Tonal_Pairing_and,0.023696682464454978,0.03825065735622503,0.023279443756849
McCreless1996Review_of_Jean-Jacques,0.002369668246445498,0.0,
Perrott1999Review_of_Laurent,0.007109004739336493,0.0,
Salley2015Review_of_Joe,0.04028436018957346,0.005675433263816233,0.025778952071903564
Thurmaier2012Review_of_Vincent,0.04028436018957346,0.0,0.19713967200423801
Byron2006The_Test_Pressings,0.018957345971563982,0.038174991327295626,2.2559825737053733e-06
Smith2014Listening_as_a,0.05924170616113744,0.0750704979361702,0.09869565513110258
Hough2015Elements_of_Style,0.02132701421800948,0.010785465103807616,0.003867287311991965
Hanninen2014<img_style='margin-left:280px'_src,0.02132701421800948,0.013691051312728911,0.04912765301670499
Trinastic2014Dissonant_Harmony_and,0.023696682464454978,0.03060542514923102,0.025638243951404727
10.30535/mto.15.5.4,0.002369668246445498,0.0,
Schaffer1996Review_of_Peter,0.014218009478672987,0.0,
Shaffer2014A_Proposal_for,0.007109004739336493,0.0,0.0012949883492990267
Argentino2015Review_of_Jack,0.007109004739336493,0.0,8.311533732628254e-06
10.30535/mto.17.3.8,0.05924170616113744,0.1172981775691786,0.038290806963482964
Barolsky2013Conference_Report:_“Performance,0.04502369668246446,0.0037702350116537164,0.20965721200403342
Friedmann1997Review_of_Nicolas,0.011848341232227489,0.0,
"Williams2010Modeling_Diatonic,_Acoustic,",0.004739336492890996,0.0,0.001426419486306687
Royal1995Review_of_<i>The,0.02132701421800948,0.0,
Guido2014Unpacking_the_Box,0.026066350710900476,0.018388903764513766,0.03075158475672069
Broman1998Report_from_the,0.016587677725118485,0.0,
Rothfarb2014History_and_Future,0.011848341232227489,0.0003908361765859281,0.002083832840741923
Nemire2014Convergence_Points_in,0.002369668246445498,0.0,0.0002985191667057555
Mastic2015Normative_Wit:_Haydn’s,0.037914691943127965,0.00839139513276793,0.02619297867079974
Koslovsky2013Conference_Report:_“Fifth,0.014218009478672987,0.010654944644645475,0.007323282900634684
Brasky2010Extraordinary_Function_and,0.007109004739336493,0.007547169811320755,0.0036507956153004053
Rothstein2008Common-tone_Tonality_in,0.004739336492890996,0.007547169811320755,5.341878410474976e-05
J.2013Fraught_with_Ought:,0.04502369668246446,0.0037702350116537164,0.20965721200403342
Roeder1994Response_to_Comments,0.009478672985781991,0.0,
Baragwanath2008Analytical_Approaches_to,0.02132701421800948,0.03353489402324735,6.20755974621019e-05
Traut2009Dyadic_TC_Lattices:,0.002369668246445498,0.0,
10.30535/mto.22.3.9,0.002369668246445498,0.0,5.7777505939790645e-05
Agawu1996Analyzing_Music_Under,0.028436018957345974,0.0,
Scotto2011What_Do_I,0.004739336492890996,0.00013601512735083156,0.0022569791797369828
Burns2008Embodied_Subjectivities_in,0.002369668246445498,0.0,
Kopp2014On_Performing_Chopin’s,0.04265402843601896,0.05114791353195106,0.12967178730603754
Wennerstrom2013Review_of_Matthew,0.05687203791469195,0.012968126302698356,0.22764055920624657
"Cook2005Prompting_Performance:_Text,",0.007109004739336493,0.007337526205450732,1.2748780217282578e-07
10.30535/mto.17.1.8,0.037914691943127965,0.015245516883832678,0.028293469565631606
Smoliar1994Comment_on_John,0.009478672985781991,0.0,
Bugallo2014<i>Harmonic</i>_and_<i>Non-Harmonic</i>,0.026066350710900476,0.05760330731594574,0.005615439600410922
Hesselink2013Radiohead’s_“Pyramid_Song”:,0.018957345971563982,0.02404539804966541,0.022035271624603874
"Koozin1999On_Metaphor,_Technology,",0.011848341232227489,0.0,
Neidhöfer2007Bruno_Maderna’s_Serial,0.002369668246445498,0.0,
Hoeckner2001Poet’s_Love_and,0.016587677725118485,0.0,
Aziz2015The_Evolution_of,0.014218009478672987,0.004060177314783511,0.012194873377872874
Carlson2011Review_of_Alexandra,0.004739336492890996,0.0,0.0028768796565473835
Broman1997Report_from_the,0.018957345971563982,0.0,
Waters2012Other_Good_Bridges:,0.007109004739336493,0.007025104161459495,0.0005668839703774258
Lundberg2014“To_Let_it,0.02132701421800948,0.026196877397404228,0.030544439948204678
Ramirez2011Review_of_Dermot,0.028436018957345974,0.02343522467477023,0.03574217511697236
Damschroder1999Review_of_Carl,0.04265402843601896,0.0,
Rodgers2010Review_of_Matthew,0.02132701421800948,0.13815937184160992,0.004814300222003226
Covach1994Destructuring_Cartesian_Dualism,0.007109004739336493,0.0,
Platt2012“Brahms_in_the,0.011848341232227489,0.0014913428887680285,0.0034047963339395924
10.30535/mto.22.1.3.,0.02132701421800948,0.0,0.0102978683343075
Ng2007Review_of_Peter,0.002369668246445498,0.0,8.882070069221019e-10
Sauer2007Cognitive_Dissonance_and,0.002369668246445498,0.0,
Rothstein1995The_Tristan_Chord,0.011848341232227489,0.0,
Temperley1999Review_of_Joseph,0.011848341232227489,0.0,
Tan2015Review_of_Eric,0.03080568720379147,0.012876655605371464,0.014544121410292658
"J.2013Pastorals,_Passepieds,_and",0.004739336492890996,0.007547169811320755,0.0006131237627241651
10.30535/mto.20.3.6,0.018957345971563982,0.004961306131899204,0.0021428209921802136
Benadon2007Commentary_on_Matthew,0.009478672985781991,0.015065751858204688,2.3902755273167807e-09
Cumming2013Renaissance_Improvisation_and,0.07582938388625593,0.05181677904814165,0.2509585043719062
Wibberley2004Models_for_Chord,0.004739336492890996,0.0,
"Shaftel2014Demographics,_Analytics,_and",0.011848341232227489,0.0003908361765859281,0.002083832840741923
Koozin2014History_and_Future,0.028436018957345974,0.03407238989975742,0.020194309161945003
10.30535/mto.21.2.3,0.009478672985781991,0.007878838928367231,0.0026235155689197298
Berman1996Review_of_Glenn,0.011848341232227489,0.0,
Clercq2016Review_of_Ralf,0.002369668246445498,0.0,0.0006763993292124717
Attas2016Review_of_Ron,0.016587677725118485,0.0,0.004152150953174401
Bakulina2014The_Concept_of,0.009478672985781991,0.0,0.0011020304010027516
BaileyShea2013Review_of_Michael,0.004739336492890996,0.0,0.004170163171147728
Lester1998How_Theorists_Relate,0.007109004739336493,0.0,
Brown2009Axis_Tonality_and,0.002369668246445498,0.0,2.8392566786513826e-06
Salley2015On_Duration_and,0.009478672985781991,0.022469982847341335,0.00013975211183474563
Nooshin2013Beyond_the_<i>Radif</i>:,0.026066350710900476,0.0004452482043039067,0.07343239338838463
Kutnowski2011How_Register_Tells,0.014218009478672987,0.0009032831697013436,0.006583994296813624
Vetter2000Review_of_Michelle,0.007109004739336493,0.0,
Gann2014Outside_the_Feedback,0.011848341232227489,0.0,0.00037915212752771615
Meeus1997Music_Theory_and,0.037914691943127965,0.0,
Killam1997Cognitive_Dissonance:_Should,0.004739336492890996,0.0,
