node,degree_centrality,betweenness_centrality,eigenvector_centrality,interval_start,interval_end
Royal1995Review_of_<i>The,0.1111111111111111,0.2129824561403508,0.1367872567336815,1993,1996
Klumpenhouwer1994Some_Remarks_on,0.0555555555555555,0.0,,1993,1996
Covach1995Musical_Worlds_and,0.1388888888888889,0.18,0.0603337120824243,1993,1996
Littlefield1994Code_and_Context:,0.1111111111111111,0.0,,1993,1996
Demske1995Response_to_Parncutt,0.1666666666666666,0.0442105263157894,0.4239922538945228,1993,1996
Demske1995On_Considering_a,0.1111111111111111,0.0,0.3227159212136588,1993,1996
Smoliar1995Musical_Objects:_,0.1111111111111111,0.0863157894736842,0.281737541440627,1993,1996
Parncutt1994Review_of_the,0.1388888888888889,0.1126315789473684,0.3101374401035536,1993,1996
Alphonce1994Dissonance_and_Schumann’s,0.0555555555555555,0.0,,1993,1996
10.30535/mto.0.2.1,0.0555555555555555,0.0,0.1659734870293533,1993,1996
Covach1994Destructuring_Cartesian_Dualism,0.0833333333333333,0.0,0.0509289680656582,1993,1996
Cochrane1995The_Ideal_Four,0.1111111111111111,0.2659649122807018,0.1354346221163775,1993,1996
"Krims1994Bloom,_Post-Structuralism(s),_and",0.0555555555555555,0.0,,1993,1996
Smoliar1994Comment_on_John,0.1111111111111111,0.0,,1993,1996
Hermann1995Towards_a_New,0.1111111111111111,0.0,0.3227159212136588,1993,1996
Rothstein1995The_Tristan_Chord,0.0833333333333333,0.0,,1993,1996
Straus1995Post-structuralism_and_Music,0.0555555555555555,0.0,,1993,1996
Cuciurean1995Review_of_Mark,0.0555555555555555,0.2684210526315789,0.1069320155622987,1993,1996
Krims1995On_the_Fear,0.0555555555555555,0.0,,1993,1996
Covach1995Schoenberg’s_Turn_to,0.0833333333333333,0.0,0.0509289680656582,1993,1996
Lindley1993An_Algebraic_Approach,0.0277777777777777,0.0,,1993,1996
Robison1995Category_Structures_and,0.0277777777777777,0.0,0.0049814948306909,1993,1996
Zbikowski1995Theories_of_Categorization,0.0833333333333333,0.1947368421052631,0.0241311395261386,1993,1996
Parncutt1995Response_to_Demske:,0.1111111111111111,0.0,0.3227159212136588,1993,1996
Rothgeb1995The_Tristan_Chord:,0.1111111111111111,0.0,,1993,1996
Lewin1994Comment_on_John,0.1111111111111111,0.0,,1993,1996
Roeder1993Toward_a_Semiotic,0.1388888888888889,0.0,,1993,1996
Roeder1994Response_to_Comments,0.1111111111111111,0.0,,1993,1996
Kopp1995On_the_Function,0.1111111111111111,0.0,,1993,1996
"Zbikowski1995Response_to_Robison,",0.0277777777777777,0.0,0.0049814948306909,1993,1996
Cochrane1995The_Phases_of,0.0277777777777777,0.0,0.0087747879205627,1993,1996
Renwick1994“A_Subject_of,0.0277777777777777,0.0,,1993,1996
Code1995Listening_for_Schubert’s,0.0277777777777777,0.0,0.0282376610066547,1993,1996
Robison1994Modifying_Interval-Class_Vectors,0.1111111111111111,0.0,,1993,1996
London1995Misreading_Meyer:_A,0.0833333333333333,0.156140350877193,0.0425049400537624,1993,1996
Rahn1994From_Similarity_to,0.25,0.5891228070175438,0.4938642071620353,1993,1996
Harley1994Comment_on_Steven,0.0277777777777777,0.0,0.0124557648220481,1993,1996
Latham1997Review_of_Ethan,0.0714285714285714,0.0106187343924004,0.0820624705908026,1996,1999
Klumpenhouwer1994Some_Remarks_on,0.0204081632653061,0.0,0.0008366333042634,1996,1999
Agmon1997The_Bridges_that,0.1020408163265306,0.1947317236136192,0.0683853475984842,1996,1999
Littlefield1994Code_and_Context:,0.0408163265306122,0.0,,1996,1999
McNamee1997Publishing_and_Pedagogy,0.010204081632653,0.0,,1996,1999
Smoliar1995Musical_Objects:_,0.0510204081632653,0.0332432522246239,0.0693831354037941,1996,1999
Friedmann1997Review_of_Nicolas,0.0510204081632653,0.0238095238095238,0.0574646346381576,1996,1999
