time,type,source,target,score
1993_1998,birth,,1993_1998_C1,
1993_1998,birth,,1993_1998_C2,
1993_1998,birth,,1993_1998_C3,
1993_1998,birth,,1993_1998_C5,
1993_1998,birth,,1993_1998_C6,
1993_1998,birth,,1993_1998_C4,
1998_2003,split,1993_1998_C1,"['1998_2003_C1', '1998_2003_C4']","[0.2682926829268293, 0.2608695652173913]"
1998_2003,split,1993_1998_C2,"['1998_2003_C3', '1998_2003_C5']","[0.2, 0.5625]"
1998_2003,survive,1993_1998_C3,1998_2003_C2,0.75
1998_2003,survive,1993_1998_C5,1998_2003_C8,1.0
1998_2003,death,1993_1998_C6,,
1998_2003,death,1993_1998_C4,,
1998_2003,merge,"['1993_1998_C2', '1993_1998_C6']",1998_2003_C5,"[0.5625, 0.18181818181818182]"
1998_2003,birth,,1998_2003_C7,
1998_2003,birth,,1998_2003_C3,
1998_2003,birth,,1998_2003_C1,
1998_2003,birth,,1998_2003_C4,
1998_2003,birth,,1998_2003_C6,
2003_2008,split,1998_2003_C5,"['2003_2008_C5', '2003_2008_C9']","[0.6923076923076923, 0.16666666666666666]"
2003_2008,split,1998_2003_C6,"['2003_2008_C6', '2003_2008_C7']","[0.35714285714285715, 0.3333333333333333]"
2003_2008,survive,1998_2003_C7,2003_2008_C8,0.6666666666666666
2003_2008,survive,1998_2003_C3,2003_2008_C3,0.7142857142857143
2003_2008,survive,1998_2003_C1,2003_2008_C1,0.75
2003_2008,survive,1998_2003_C2,2003_2008_C2,0.8421052631578947
2003_2008,survive,1998_2003_C4,2003_2008_C4,0.7692307692307693
2003_2008,survive,1998_2003_C8,2003_2008_C11,1.0
2003_2008,birth,,2003_2008_C6,
2003_2008,birth,,2003_2008_C5,
2003_2008,birth,,2003_2008_C9,
2003_2008,birth,,2003_2008_C7,
2003_2008,birth,,2003_2008_C10,
2008_2013,split,2003_2008_C2,"['2008_2013_C3', '2008_2013_C6']","[0.3333333333333333, 0.2692307692307692]"
2008_2013,split,2003_2008_C4,"['2008_2013_C5', '2008_2013_C4']","[0.375, 0.16]"
2008_2013,survive,2003_2008_C8,2008_2013_C11,1.0
2008_2013,survive,2003_2008_C1,2008_2013_C1,0.5735294117647058
2008_2013,survive,2003_2008_C11,2008_2013_C13,1.0
2008_2013,survive,2003_2008_C7,2008_2013_C7,0.5555555555555556
2008_2013,survive,2003_2008_C10,2008_2013_C10,0.5
2008_2013,death,2003_2008_C3,,
2008_2013,death,2003_2008_C6,,
2008_2013,death,2003_2008_C5,,
2008_2013,death,2003_2008_C9,,
2008_2013,merge,"['2003_2008_C6', '2003_2008_C4']",2008_2013_C5,"[0.21739130434782608, 0.375]"
2008_2013,merge,"['2003_2008_C9', '2003_2008_C7']",2008_2013_C7,"[0.3333333333333333, 0.5555555555555556]"
2008_2013,birth,,2008_2013_C2,
2008_2013,birth,,2008_2013_C3,
2008_2013,birth,,2008_2013_C4,
2008_2013,birth,,2008_2013_C6,
2008_2013,birth,,2008_2013_C8,
2008_2013,birth,,2008_2013_C9,
2008_2013,birth,,2008_2013_C12,
2013_2018,split,2008_2013_C4,"['2013_2018_C2', '2013_2018_C5']","[0.21428571428571427, 0.1935483870967742]"
2013_2018,survive,2008_2013_C2,2013_2018_C3,0.47058823529411764
2013_2018,survive,2008_2013_C5,2013_2018_C8,0.53125
2013_2018,survive,2008_2013_C1,2013_2018_C1,0.52
2013_2018,survive,2008_2013_C3,2013_2018_C4,0.5428571428571428
2013_2018,survive,2008_2013_C6,2013_2018_C7,0.43478260869565216
2013_2018,death,2008_2013_C11,,
2013_2018,death,2008_2013_C8,,
2013_2018,death,2008_2013_C13,,
2013_2018,death,2008_2013_C9,,
2013_2018,death,2008_2013_C10,,
2013_2018,death,2008_2013_C12,,
2013_2018,death,2008_2013_C7,,
2013_2018,merge,"['2008_2013_C11', '2008_2013_C9']",2013_2018_C10,"[0.2, 0.26666666666666666]"
2013_2018,merge,"['2008_2013_C13', '2008_2013_C7']",2013_2018_C11,"[0.23076923076923078, 0.2222222222222222]"
2013_2018,birth,,2013_2018_C13,
2013_2018,birth,,2013_2018_C2,
2013_2018,birth,,2013_2018_C9,
2013_2018,birth,,2013_2018_C5,
2013_2018,birth,,2013_2018_C14,
2013_2018,birth,,2013_2018_C12,
2013_2018,birth,,2013_2018_C6,
2018_2023,split,2013_2018_C10,"['2018_2023_C15', '2018_2023_C10']","[0.23529411764705882, 0.3684210526315789]"
2018_2023,split,2013_2018_C11,"['2018_2023_C12', '2018_2023_C13']","[0.3181818181818182, 0.2631578947368421]"
2018_2023,survive,2013_2018_C3,2018_2023_C3,0.546875
2018_2023,survive,2013_2018_C1,2018_2023_C1,0.75
2018_2023,survive,2013_2018_C4,2018_2023_C4,0.45614035087719296
2018_2023,survive,2013_2018_C9,2018_2023_C7,0.5416666666666666
2018_2023,survive,2013_2018_C6,2018_2023_C5,0.5625
2018_2023,survive,2013_2018_C8,2018_2023_C9,0.47058823529411764
2018_2023,survive,2013_2018_C7,2018_2023_C6,0.5142857142857142
2018_2023,death,2013_2018_C13,,
2018_2023,death,2013_2018_C2,,
2018_2023,death,2013_2018_C5,,
2018_2023,death,2013_2018_C14,,
2018_2023,death,2013_2018_C12,,
2018_2023,merge,"['2013_2018_C11', '2013_2018_C14']",2018_2023_C12,"[0.3181818181818182, 0.3125]"
2018_2023,merge,"['2013_2018_C2', '2013_2018_C5']",2018_2023_C2,"[0.36363636363636365, 0.2638888888888889]"
2018_2023,merge,"['2013_2018_C12', '2013_2018_C7']",2018_2023_C6,"[0.29411764705882354, 0.5142857142857142]"
2018_2023,birth,,2018_2023_C8,
2018_2023,birth,,2018_2023_C11,
2018_2023,birth,,2018_2023_C18,
2018_2023,birth,,2018_2023_C15,
2018_2023,birth,,2018_2023_C14,
2018_2023,birth,,2018_2023_C17,
2018_2023,birth,,2018_2023_C10,
2018_2023,birth,,2018_2023_C16,
2018_2023,birth,,2018_2023_C13,
2023_2028,split,2018_2023_C4,"['2023_2028_C4', '2023_2028_C7']","[0.5178571428571429, 0.31746031746031744]"
2023_2028,split,2018_2023_C6,"['2023_2028_C13', '2023_2028_C6']","[0.32432432432432434, 0.6111111111111112]"
2023_2028,split,2018_2023_C13,"['2023_2028_C15', '2023_2028_C7']","[0.15789473684210525, 0.21212121212121213]"
2023_2028,survive,2018_2023_C3,2023_2028_C3,0.7205882352941176
2023_2028,survive,2018_2023_C11,2023_2028_C10,0.8947368421052632
