time,type,source,target,score
1993_1998,birth,,1993_1998_C2,
1993_1998,birth,,1993_1998_C1,
1993_1998,birth,,1993_1998_C3,
1993_1998,birth,,1993_1998_C5,
1993_1998,birth,,1993_1998_C4,
1993_1998,birth,,1993_1998_C6,
1998_2003,survive,1993_1998_C2,1998_2003_C2,1.0
1998_2003,survive,1993_1998_C1,1998_2003_C1,1.0
1998_2003,survive,1993_1998_C3,1998_2003_C3,1.0
1998_2003,survive,1993_1998_C5,1998_2003_C5,1.0
1998_2003,survive,1993_1998_C4,1998_2003_C4,1.0
1998_2003,survive,1993_1998_C6,1998_2003_C6,1.0
2003_2008,survive,1998_2003_C2,2003_2008_C7,1.0
2003_2008,survive,1998_2003_C1,2003_2008_C4,1.0
2003_2008,survive,1998_2003_C3,2003_2008_C9,1.0
2003_2008,survive,1998_2003_C5,2003_2008_C15,1.0
2003_2008,survive,1998_2003_C4,2003_2008_C11,1.0
2003_2008,survive,1998_2003_C6,2003_2008_C16,1.0
2003_2008,birth,,2003_2008_C3,
2003_2008,birth,,2003_2008_C12,
2003_2008,birth,,2003_2008_C6,
2003_2008,birth,,2003_2008_C2,
2003_2008,birth,,2003_2008_C8,
2003_2008,birth,,2003_2008_C5,
2003_2008,birth,,2003_2008_C10,
2003_2008,birth,,2003_2008_C13,
2003_2008,birth,,2003_2008_C14,
2003_2008,birth,,2003_2008_C1,
2003_2008,birth,,2003_2008_C17,
2008_2013,survive,2003_2008_C3,2008_2013_C8,1.0
2008_2013,survive,2003_2008_C7,2008_2013_C9,1.0
2008_2013,survive,2003_2008_C4,2008_2013_C7,0.5
2008_2013,survive,2003_2008_C9,2008_2013_C10,1.0
2008_2013,survive,2003_2008_C10,2008_2013_C11,1.0
2008_2013,survive,2003_2008_C13,2008_2013_C18,1.0
2008_2013,survive,2003_2008_C14,2008_2013_C21,1.0
2008_2013,survive,2003_2008_C11,2008_2013_C13,1.0
2008_2013,survive,2003_2008_C17,2008_2013_C23,1.0
2008_2013,death,2003_2008_C12,,
2008_2013,death,2003_2008_C6,,
2008_2013,death,2003_2008_C2,,
2008_2013,death,2003_2008_C8,,
2008_2013,death,2003_2008_C5,,
2008_2013,death,2003_2008_C15,,
2008_2013,death,2003_2008_C1,,
2008_2013,death,2003_2008_C16,,
