time,type,source,target,score
1993_1998,birth,,1993_1998_C1,
1993_1998,birth,,1993_1998_C3,
1993_1998,birth,,1993_1998_C4,
1993_1998,birth,,1993_1998_C2,
1998_2003,survive,1993_1998_C1,1998_2003_C1,1.0
1998_2003,survive,1993_1998_C3,1998_2003_C3,1.0
1998_2003,survive,1993_1998_C4,1998_2003_C4,1.0
1998_2003,survive,1993_1998_C2,1998_2003_C2,1.0
2003_2008,survive,1998_2003_C1,2003_2008_C3,1.0
2003_2008,survive,1998_2003_C3,2003_2008_C9,1.0
2003_2008,survive,1998_2003_C4,2003_2008_C10,1.0
2003_2008,survive,1998_2003_C2,2003_2008_C4,1.0
2003_2008,birth,,2003_2008_C7,
2003_2008,birth,,2003_2008_C1,
2003_2008,birth,,2003_2008_C2,
2003_2008,birth,,2003_2008_C8,
2003_2008,birth,,2003_2008_C5,
2003_2008,birth,,2003_2008_C6,
2003_2008,birth,,2003_2008_C11,
2008_2013,survive,2003_2008_C3,2008_2013_C12,1.0
2008_2013,survive,2003_2008_C8,2008_2013_C22,1.0
2008_2013,survive,2003_2008_C5,2008_2013_C14,1.0
2008_2013,survive,2003_2008_C6,2008_2013_C8,0.6
2008_2013,survive,2003_2008_C10,2008_2013_C27,1.0
2008_2013,survive,2003_2008_C11,2008_2013_C28,1.0
2008_2013,survive,2003_2008_C4,2008_2013_C13,1.0
2008_2013,death,2003_2008_C7,,
2008_2013,death,2003_2008_C1,,
2008_2013,death,2003_2008_C2,,
2008_2013,death,2003_2008_C9,,
2008_2013,birth,,2008_2013_C10,
2008_2013,birth,,2008_2013_C3,
2008_2013,birth,,2008_2013_C15,
2008_2013,birth,,2008_2013_C16,
2008_2013,birth,,2008_2013_C4,
2008_2013,birth,,2008_2013_C1,
2008_2013,birth,,2008_2013_C6,
2008_2013,birth,,2008_2013_C17,
2008_2013,birth,,2008_2013_C5,
2008_2013,birth,,2008_2013_C7,
2008_2013,birth,,2008_2013_C18,
2008_2013,birth,,2008_2013_C11,
2008_2013,birth,,2008_2013_C2,
2008_2013,birth,,2008_2013_C19,
2008_2013,birth,,2008_2013_C20,
2008_2013,birth,,2008_2013_C9,
2008_2013,birth,,2008_2013_C21,
2008_2013,birth,,2008_2013_C23,
2008_2013,birth,,2008_2013_C24,
2008_2013,birth,,2008_2013_C25,
2008_2013,birth,,2008_2013_C26,
2008_2013,birth,,2008_2013_C29,
2008_2013,birth,,2008_2013_C30,
2013_2018,split,2008_2013_C3,"['2013_2018_C8', '2013_2018_C7']","[0.25, 0.4]"
2013_2018,survive,2008_2013_C10,2013_2018_C11,0.4
2013_2018,survive,2008_2013_C16,2013_2018_C20,0.5
2013_2018,survive,2008_2013_C4,2013_2018_C13,1.0
2013_2018,survive,2008_2013_C1,2013_2018_C1,0.41025641025641024
2013_2018,survive,2008_2013_C6,2013_2018_C2,0.4117647058823529
2013_2018,survive,2008_2013_C5,2013_2018_C18,0.7777777777777778
2013_2018,survive,2008_2013_C7,2013_2018_C15,0.6666666666666666
2013_2018,survive,2008_2013_C18,2013_2018_C24,0.6666666666666666
2013_2018,survive,2008_2013_C2,2013_2018_C5,0.8888888888888888
2013_2018,survive,2008_2013_C20,2013_2018_C33,1.0
2013_2018,survive,2008_2013_C9,2013_2018_C17,0.8
2013_2018,survive,2008_2013_C12,2013_2018_C26,1.0
2013_2018,survive,2008_2013_C21,2013_2018_C36,1.0
2013_2018,survive,2008_2013_C23,2013_2018_C37,1.0
2013_2018,survive,2008_2013_C24,2013_2018_C38,1.0
2013_2018,survive,2008_2013_C14,2013_2018_C28,1.0
2013_2018,survive,2008_2013_C25,2013_2018_C43,1.0
2013_2018,survive,2008_2013_C26,2013_2018_C40,1.0
2013_2018,survive,2008_2013_C28,2013_2018_C41,1.0
2013_2018,survive,2008_2013_C29,2013_2018_C42,1.0
2013_2018,survive,2008_2013_C13,2013_2018_C21,1.0
2013_2018,death,2008_2013_C15,,
2013_2018,death,2008_2013_C8,,
2013_2018,death,2008_2013_C17,,
2013_2018,death,2008_2013_C11,,
2013_2018,death,2008_2013_C19,,
2013_2018,death,2008_2013_C22,,
2013_2018,death,2008_2013_C27,,
2013_2018,death,2008_2013_C30,,
2013_2018,birth,,2013_2018_C23,
2013_2018,birth,,2013_2018_C3,
2013_2018,birth,,2013_2018_C8,
2013_2018,birth,,2013_2018_C16,
2013_2018,birth,,2013_2018_C14,
2013_2018,birth,,2013_2018_C7,
2013_2018,birth,,2013_2018_C4,
2013_2018,birth,,2013_2018_C10,
2013_2018,birth,,2013_2018_C12,
2013_2018,birth,,2013_2018_C6,
2013_2018,birth,,2013_2018_C9,
2013_2018,birth,,2013_2018_C27,
2013_2018,birth,,2013_2018_C25,
2013_2018,birth,,2013_2018_C29,
2013_2018,birth,,2013_2018_C30,
2013_2018,birth,,2013_2018_C31,
2013_2018,birth,,2013_2018_C32,
2013_2018,birth,,2013_2018_C19,
2013_2018,birth,,2013_2018_C34,
2013_2018,birth,,2013_2018_C22,
2013_2018,birth,,2013_2018_C35,
2013_2018,birth,,2013_2018_C39,
2018_2023,split,2013_2018_C11,"['2018_2023_C15', '2018_2023_C16']","[0.4166666666666667, 0.17647058823529413]"
2018_2023,split,2013_2018_C10,"['2018_2023_C17', '2018_2023_C12']","[0.29411764705882354, 0.4444444444444444]"
2018_2023,split,2013_2018_C12,"['2018_2023_C14', '2018_2023_C22']","[0.3888888888888889, 0.46153846153846156]"
2018_2023,survive,2013_2018_C23,2018_2023_C21,0.5714285714285714
2018_2023,survive,2013_2018_C3,2018_2023_C6,0.78125
2018_2023,survive,2013_2018_C8,2018_2023_C13,0.5
2018_2023,survive,2013_2018_C15,2018_2023_C18,0.9
2018_2023,survive,2013_2018_C13,2018_2023_C19,0.5
2018_2023,survive,2013_2018_C1,2018_2023_C1,0.5625
2018_2023,survive,2013_2018_C7,2018_2023_C9,0.8125
2018_2023,survive,2013_2018_C2,2018_2023_C3,0.6666666666666666
2018_2023,survive,2013_2018_C4,2018_2023_C5,0.475
2018_2023,survive,2013_2018_C24,2018_2023_C24,0.6
2018_2023,survive,2013_2018_C5,2018_2023_C11,0.9473684210526315
2018_2023,survive,2013_2018_C9,2018_2023_C7,0.47619047619047616
2018_2023,survive,2013_2018_C27,2018_2023_C27,0.6
2018_2023,survive,2013_2018_C17,2018_2023_C20,1.0
2018_2023,survive,2013_2018_C29,2018_2023_C34,0.6666666666666666
2018_2023,survive,2013_2018_C30,2018_2023_C32,1.0
2018_2023,survive,2013_2018_C32,2018_2023_C43,1.0
2018_2023,survive,2013_2018_C33,2018_2023_C44,1.0
2018_2023,survive,2013_2018_C19,2018_2023_C26,1.0
2018_2023,survive,2013_2018_C18,2018_2023_C25,1.0
2018_2023,survive,2013_2018_C34,2018_2023_C45,1.0
2018_2023,survive,2013_2018_C35,2018_2023_C46,1.0
2018_2023,survive,2013_2018_C26,2018_2023_C28,1.0
2018_2023,survive,2013_2018_C36,2018_2023_C47,1.0
2018_2023,survive,2013_2018_C37,2018_2023_C48,1.0
2018_2023,survive,2013_2018_C38,2018_2023_C49,1.0
2018_2023,survive,2013_2018_C28,2018_2023_C36,1.0
2018_2023,survive,2013_2018_C43,2018_2023_C50,1.0
2018_2023,survive,2013_2018_C39,2018_2023_C30,0.6666666666666666
2018_2023,survive,2013_2018_C40,2018_2023_C51,1.0
2018_2023,survive,2013_2018_C41,2018_2023_C52,1.0
2018_2023,survive,2013_2018_C42,2018_2023_C53,1.0
2018_2023,death,2013_2018_C16,,
2018_2023,death,2013_2018_C14,,
2018_2023,death,2013_2018_C20,,
2018_2023,death,2013_2018_C6,,
2018_2023,death,2013_2018_C25,,
2018_2023,death,2013_2018_C31,,
2018_2023,death,2013_2018_C22,,
2018_2023,death,2013_2018_C21,,
2018_2023,merge,"['2013_2018_C8', '2013_2018_C22']",2018_2023_C13,"[0.5, 0.36363636363636365]"
2018_2023,merge,"['2013_2018_C16', '2013_2018_C4']",2018_2023_C5,"[0.1891891891891892, 0.475]"
2018_2023,merge,"['2013_2018_C9', '2013_2018_C25']",2018_2023_C7,"[0.47619047619047616, 0.19047619047619047]"
2018_2023,birth,,2018_2023_C38,
2018_2023,birth,,2018_2023_C15,
2018_2023,birth,,2018_2023_C4,
2018_2023,birth,,2018_2023_C16,
