,1993_1998,1998_2003,2003_2008,2008_2013,2013_2018,2018_2023,2023_2028
10.2307/763915,1,7,8,11,10,8,14
10.30535/mto.0.2.1,2,3,3,2,3,3,3
10.30535/mto.12.1.1,,,3,2,3,3,3
10.30535/mto.12.2.2.,,,6,5,13,11,10
10.30535/mto.12.4.2,,,3,2,3,3,3
10.30535/mto.13.1.6,,,1,1,1,1,1
10.30535/mto.14.2.2,,,,3,4,4,4
10.30535/mto.14.2.3,,,,2,3,18,18
10.30535/mto.15.5.1,,,,2,3,3,3
10.30535/mto.15.5.2,,,,1,11,12,11
10.30535/mto.16.3.2,,,,3,4,4,4
10.30535/mto.16.4.4.,,,,2,3,3,3
10.30535/mto.17.1.8,,,,3,2,2,2
10.30535/mto.17.2.3,,,,2,9,7,9
10.30535/mto.17.2.7.,,,,2,3,3,3
10.30535/mto.17.3.2,,,,4,2,2,2
10.30535/mto.17.3.3,,,,3,2,4,2
10.30535/mto.17.3.5,,,,1,11,12,11
10.30535/mto.17.3.6,,,,4,2,2,2
10.30535/mto.17.3.7,,,,4,5,2,2
10.30535/mto.17.3.8,,,,3,2,2,2
10.30535/mto.17.4.1,,,,2,3,3,3
10.30535/mto.17.4.3,,,,4,2,2,2
10.30535/mto.18.1.5,,,,2,3,3,3
10.30535/mto.18.1.7,,,,2,1,7,1
10.30535/mto.18.3.6.,,,,1,14,12,11
10.30535/mto.18.3.9,,,,1,1,1,1
10.30535/mto.18.4.3,,,,4,5,2,2
10.30535/mto.18.4.4,,,,1,1,1,1
10.30535/mto.19.2.2,,,,,3,3,3
10.30535/mto.19.4.2,,,,,13,11,10
10.30535/mto.19.4.3,,,,,1,1,1
10.30535/mto.20.2.1,,,,,3,3,3
10.30535/mto.20.3.6,,,,,12,6,13
10.30535/mto.20.4.1,,,,,2,2,2
10.30535/mto.21.1.3,,,,,2,2,2
10.30535/mto.21.1.4,,,,,12,6,13
10.30535/mto.21.2.3,,,,,10,15,1
10.30535/mto.21.2.5,,,,,2,2,2
10.30535/mto.21.3.10,,,,,6,5,5
10.30535/mto.21.3.7,,,,,1,1,1
10.30535/mto.22.1.2,,,,,6,8,2
10.30535/mto.22.1.3.,,,,,5,2,2
10.30535/mto.22.2.6,,,,,1,1,1
10.30535/mto.22.3.3,,,,,2,2,2
10.30535/mto.22.3.7,,,,,6,5,5
10.30535/mto.22.3.8,,,,,6,5,5
