,1993_1998,1998_2003,2003_2008,2008_2013,2013_2018,2018_2023,2023_2028
"2015), (after July 1",,,,,8,6,56
"Aarden, Bret",,,5,10,9,7,49
"Aareskjold-Drecker, Jon Marius",,,,,,1,5
"Aaslid, Vilde",,,,,,2,19
"Adams, Kyle",,,,,2,1,9
"Agawu, Kofi",,,,,1,1,10
"Agmon, Eytan",,,,,,,47
"Albrecht, Joshua",,,,,17,1,32
"Alcalde, Bruno",,,,,,1,25
"Amiot, Emmanuel",,,,,6,4,39
"Anku, Willie",,,12,5,1,1,12
"Argentino, Joe R.",,,,,,5,42
"Arlin, Mary I.",,,,,1,1,13
"Atkinson, Sean E.",,,,,,,25
"Attas, Robin",,,,4,1,1,3
"Auerbach, Brent",,,,16,1,1,21
"Aziz, Andrew",,,,,,1,7
"BaileyShea, Matt",,,,,1,1,21
"BaileyShea, Matthew L.",,,,6,1,1,21
"Bain, Matthew Neil",,,6,4,1,1,23
"Baker, Ben",,,,,,2,19
"Bakulina, Ellen",,,,,2,1,3
"Barna, Alyssa",,,,,,1,6
"Baroin, Gilles",,,,,6,4,39
"Barolsky, Daniel",,,,,1,1,2
"Barolsky, Daniel G",,,,,1,1,43
"Bass, Richard",,,,,10,8,53
"Bazayev, Inessa",,,,,2,1,3
"Beaudoin, Richard",,,,,,1,1
"Beavers, Jennifer P.",,,,,,1,18
"Belcher, Owen",,,,,,,3
"Benadon, Fernando",,,12,5,1,1,35
"Bent, Margaret",,,,17,18,14,63
"Bernstein, Zachary",,,,,,,2
"Berry, Michael",,,,18,1,1,24
"Bertolani, Valentina",,,,,,2,16
"Besada, José L.",,,,,,15,60
"Bhogal, Gurminder K.",,,,,,1,18
"Biamonte, Nicole",,,,1,1,1,1
"Binder, Benjamin",,,,,1,1,43
"Blake, David K.",,,,1,1,1,6
"Boone, Christine",,,,,2,1,17
"Boss, Jack",,,,,,1,3
"Bourne, Janet",,,,,1,1,4
"Boyd, Clifton",,,,,,,3
"Boyle, Antares",,,,,,1,5
"Boyle, Matthew L.",,,,,,,5
"Boyle, Matthew L. C.",,,,,,,5
"Brinkman, Alexander R.",2,2,7,11,11,9,52
"Brøvig-Hanssen, Ragnhild",,,,,,1,5
"Buchler, Michael",,,,2,1,3,22
"Buchler, Michael H.",,,2,2,1,3,22
"Bugallo, Helena",,,,,1,1,33
"Bungert, James",,,,,1,1,17
"Burnham, Scott",,,,,,1,10
"Burns, Chelsea",,,,,,1,10
"Burns, James",,,,5,1,1,12
"Burns, Lori",,,8,1,1,1,14
"Burns, Lori A.",,,,1,1,1,14
"Butler, Mark J.",,,,5,1,1,32
"Butterfield, Matthew W.",,,,5,1,1,5
"Byros, Vasili",,,,,1,1,4
"Cairns, Zachary",,,,,,1,1
"Cairns, Zachary A.",,,,,2,1,3
"Callahan, Michael R.",,,,,1,1,13
"Callender, Clifton",,,,,1,1,33
