,1993_1998,1998_2003,2003_2008,2008_2013,2013_2018,2018_2023,2023_2028
"2015), (after July 1",,,,,7,6,6
"Aarden, Bret",,,3,8,4,4,5
"Aareskjold-Drecker, Jon Marius",,,,,,1,1
"Aaslid, Vilde",,,,,,1,1
"Adams, Kyle",,,,,1,1,1
"Agawu, Kofi",,,,,1,1,1
"Agmon, Eytan",,,,,,,1
"Albrecht, Joshua",,,,,15,1,1
"Alcalde, Bruno",,,,,,1,1
"Amiot, Emmanuel",,,,,6,3,3
"Anku, Willie",,,12,5,1,1,1
"Argentino, Joe R.",,,,,,5,4
"Arlin, Mary I.",,,,,1,1,1
"Atkinson, Sean E.",,,,,,,1
"Attas, Robin",,,,2,1,1,1
"Auerbach, Brent",,,,14,1,1,1
"Aziz, Andrew",,,,,,1,1
"BaileyShea, Matt",,,,,1,1,1
"BaileyShea, Matthew L.",,,,7,1,1,1
"Bain, Matthew Neil",,,6,2,1,1,1
"Baker, Ben",,,,,,1,1
"Bakulina, Ellen",,,,,2,1,1
"Barna, Alyssa",,,,,,1,1
"Baroin, Gilles",,,,,6,3,3
"Barolsky, Daniel",,,,,1,1,1
"Barolsky, Daniel G",,,,,1,1,1
"Bass, Richard",,,,,8,7,7
"Bazayev, Inessa",,,,,2,1,1
"Beaudoin, Richard",,,,,,1,1
"Beavers, Jennifer P.",,,,,,1,1
"Belcher, Owen",,,,,,,1
"Benadon, Fernando",,,12,5,1,1,1
"Bent, Margaret",,,,15,16,13,15
"Bernstein, Zachary",,,,,,,1
"Berry, Michael",,,,16,1,1,1
"Bertolani, Valentina",,,,,,1,1
"Besada, José L.",,,,,,14,16
"Bhogal, Gurminder K.",,,,,,1,1
"Biamonte, Nicole",,,,4,1,1,1
"Binder, Benjamin",,,,,1,1,1
"Blake, David K.",,,,4,1,1,1
"Boone, Christine",,,,,1,1,1
"Boss, Jack",,,,,,1,1
"Bourne, Janet",,,,,1,1,1
"Boyd, Clifton",,,,,,,1
"Boyle, Antares",,,,,,1,1
"Boyle, Matthew L.",,,,,,,1
"Boyle, Matthew L. C.",,,,,,,1
"Brinkman, Alexander R.",2,2,7,9,9,8,8
"Brøvig-Hanssen, Ragnhild",,,,,,1,1
"Buchler, Michael",,,,2,1,2,2
"Buchler, Michael H.",,,2,2,1,2,2
"Bugallo, Helena",,,,,1,1,1
"Bungert, James",,,,,1,1,1
"Burnham, Scott",,,,,,1,1
"Burns, Chelsea",,,,,,1,1
"Burns, James",,,,5,1,1,1
"Burns, Lori",,,8,1,1,1,1
"Burns, Lori A.",,,,1,1,1,1
"Butler, Mark J.",,,,5,1,1,1
"Butterfield, Matthew W.",,,,5,1,1,1
"Byros, Vasili",,,,,1,1,1
"Cairns, Zachary",,,,,,1,1
"Cairns, Zachary A.",,,,,2,1,1
"Callahan, Michael R.",,,,,1,1,1
"Callender, Clifton",,,,,1,1,1
