,1993_1998,1998_2003,2003_2008,2008_2013,2013_2018,2018_2023,2023_2028
10.2307/763915,,,,,25,21,48
10.30535/mto.0.2.1,,,,,,,1
10.30535/mto.12.1.1,,,,,,25,29
10.30535/mto.12.2.2.,,,,,4,1,1
10.30535/mto.12.4.2,,,,3,1,1,1
10.30535/mto.13.1.6,,,,,,4,2
10.30535/mto.14.2.2,,,,,14,2,2
10.30535/mto.14.2.3,,,,9,9,1,1
10.30535/mto.15.5.1,,,,9,9,1,1
10.30535/mto.15.5.2,,,,,6,3,3
10.30535/mto.16.4.4.,,,,3,1,1,1
10.30535/mto.17.1.8,,,,1,3,1,1
10.30535/mto.17.2.3,,,,,,3,3
10.30535/mto.17.2.7.,,,,,,,9
10.30535/mto.17.3.2,,,,1,5,1,1
10.30535/mto.17.3.3,,,,,4,1,1
10.30535/mto.17.3.5,,,,,10,3,2
10.30535/mto.17.3.6,,,,,1,1,1
10.30535/mto.17.3.7,,,,,5,1,1
10.30535/mto.17.3.8,,,,1,5,1,1
10.30535/mto.17.4.1,,,,,,4,2
10.30535/mto.17.4.3,,,,1,3,1,1
10.30535/mto.18.1.5,,,,,,,1
10.30535/mto.18.1.6,,,,,,4,2
10.30535/mto.18.2.3,,,,,,10,10
10.30535/mto.18.3.4,,,,2,11,2,2
10.30535/mto.18.3.6.,,,,2,11,2,2
10.30535/mto.18.3.7,,,,2,11,2,2
10.30535/mto.18.3.9,,,,10,30,11,11
10.30535/mto.18.4.3,,,,11,34,1,1
10.30535/mto.18.4.4,,,,4,10,3,2
10.30535/mto.19.1.1,,,,,,7,6
10.30535/mto.19.1.2,,,,,39,4,2
10.30535/mto.19.2.2,,,,,1,1,1
10.30535/mto.19.3.1,,,,,,1,1
10.30535/mto.19.3.2,,,,,5,1,1
10.30535/mto.19.4.2,,,,,4,1,1
10.30535/mto.19.4.3,,,,,21,1,1
10.30535/mto.20.1.1,,,,,,,1
10.30535/mto.20.2.1,,,,,1,1,1
10.30535/mto.20.3.6,,,,,6,3,3
10.30535/mto.20.3.8,,,,,6,3,3
10.30535/mto.20.3.9,,,,,,,2
10.30535/mto.20.4.1,,,,,3,1,1
10.30535/mto.21.1.3,,,,,1,1,1
10.30535/mto.21.2.3,,,,,8,2,2
10.30535/mto.21.2.5,,,,,12,1,1
10.30535/mto.21.3.10,,,,,8,2,2
10.30535/mto.21.3.7,,,,,10,3,2
10.30535/mto.21.3.9,,,,,,,1
10.30535/mto.22.1.2,,,,,13,1,1
10.30535/mto.22.1.3.,,,,,5,1,1
10.30535/mto.22.2.1,,,,,,1,1
10.30535/mto.22.2.6,,,,,15,4,2
10.30535/mto.22.3.1,,,,,9,1,1
10.30535/mto.22.3.3,,,,,1,1,1
10.30535/mto.22.3.7,,,,,,2,2
10.30535/mto.22.3.8,,,,,,2,2
10.30535/mto.22.3.9,,,,,,2,2
10.30535/mto.22.4.2,,,,,2,2,2
10.30535/mto.22.4.4,,,,,46,6,7
10.30535/mto.22.4.5,,,,,1,1,1
10.30535/mto.23.1.1,,,,,,10,10
10.30535/mto.23.1.3,,,,,14,2,2
10.30535/mto.23.1.4,,,,,17,7,6
10.30535/mto.23.1.6,,,,,,2,2
10.30535/mto.23.1.7,,,,,3,1,1
10.30535/mto.23.2.1,,,,,,,33
10.30535/mto.23.2.2,,,,,4,1,1
10.30535/mto.23.2.4,,,,,25,21,48
