,1993_1998,1998_2003,2003_2008,2008_2013,2013_2018,2018_2023,2023_2028
10.2307/763915,9,11,12,2,2,4,4
10.30535/mto.0.2.1,4,6,2,2,2,4,4
10.30535/mto.12.1.1,,,17,8,8,9,9
10.30535/mto.12.2.2.,,,4,3,3,2,1
10.30535/mto.12.4.2,,,4,3,3,2,1
10.30535/mto.13.1.6,,,4,3,3,2,1
10.30535/mto.14.2.2,,,,3,3,2,1
10.30535/mto.14.2.3,,,,1,3,2,1
10.30535/mto.15.5.1,,,,1,3,2,1
10.30535/mto.15.5.2,,,,3,3,2,1
10.30535/mto.15.5.4,,,,9,9,10,10
10.30535/mto.16.3.2,,,,1,1,2,1
10.30535/mto.16.4.4.,,,,1,1,2,1
10.30535/mto.17.1.8,,,,1,1,2,1
10.30535/mto.17.2.3,,,,1,1,2,1
10.30535/mto.17.2.7.,,,,1,1,2,1
10.30535/mto.17.3.2,,,,1,1,2,1
10.30535/mto.17.3.3,,,,1,1,2,1
10.30535/mto.17.3.5,,,,1,1,2,1
10.30535/mto.17.3.6,,,,1,1,2,1
10.30535/mto.17.3.7,,,,1,1,2,1
10.30535/mto.17.3.8,,,,1,1,2,1
10.30535/mto.17.4.1,,,,1,1,2,1
10.30535/mto.17.4.3,,,,1,1,2,1
10.30535/mto.18.1.4,,,,1,1,1,1
10.30535/mto.18.1.5,,,,1,1,2,1
10.30535/mto.18.1.6,,,,1,1,2,1
10.30535/mto.18.1.7,,,,1,1,2,1
10.30535/mto.18.2.3,,,,1,1,2,1
10.30535/mto.18.3.4,,,,1,1,2,1
10.30535/mto.18.3.6.,,,,1,1,2,1
10.30535/mto.18.3.7,,,,1,1,2,1
10.30535/mto.18.3.9,,,,1,1,2,1
10.30535/mto.18.4.3,,,,1,1,2,1
10.30535/mto.18.4.4,,,,1,1,2,1
10.30535/mto.19.1.1,,,,,1,1,1
10.30535/mto.19.1.2,,,,,1,2,1
10.30535/mto.19.2.2,,,,,1,2,1
10.30535/mto.19.4.2,,,,,1,2,1
10.30535/mto.19.4.3,,,,,1,2,1
10.30535/mto.20.2.1,,,,,1,1,1
10.30535/mto.20.3.6,,,,,1,1,1
10.30535/mto.20.3.8,,,,,1,1,1
