Period,Author,Region,Bridge Score
2005-2007,"Nolan, Catherine",Canada,0.0096
2005-2007,"Spicer, Mark",Eastern US,0.0043
2005-2007,"Losada, C. Catherine",Central US,0.0039
2005-2007,"Stoecker, Philip",Central US,0.0024
2005-2007,"Benadon, Fernando",Eastern US,0.0024
2008-2010,"Sturman, Michael",Eastern US,0.0083
2008-2010,"Roeder, John",Canada,0.0067
2008-2010,"Donin, Nicolas",Europe,0.0064
2008-2010,"Goldman, Jonathan",Canada,0.0064
2008-2010,"Polak, Rainer",Europe,0.0063
2011-2013,"Lewis, George E.",Eastern US,0.0096
2011-2013,"Martin, Henry",Eastern US,0.0037
2011-2013,"McCandless, Gregory R.",Eastern US,0.0033
2011-2013,"Moseley, Roger",Eastern US,0.003
2011-2013,"Steinbeck, Paul",Central US,0.0022
2014-2016,"Shaffer, Kris P.",Western US,0.0062
2014-2016,"Gawboy, Anna",Central US,0.0061
2014-2016,"Gotham, Mark",Europe,0.0048
2014-2016,"Polak, Rainer",Europe,0.0047
2014-2016,"Cohn, Richard",Eastern US,0.0044
2017-2019,"Bungert, James",Western US,0.0042
2017-2019,"Lucas, Olivia R.",Oceania,0.0039
2017-2019,"Ohriner, Mitchell S.",Eastern US,0.0037
2017-2019,"Duinker, Ben",Canada,0.0027
2017-2019,"Ren, Iris",Europe,0.0022
2020-2022,"Lucas, Olivia R.",Oceania,0.0041
2020-2022,"Llorens, Ana",Europe,0.004
2020-2022,"Duinker, Ben",Canada,0.003
2020-2022,"Nobile, Drew",Western US,0.0028
2020-2022,"Leydon, Rebecca",Central US,0.0026
2023-2025,"Biamonte, Nicole",Canada,0.0025
2023-2025,"Zeller, Matthew",Western US,0.0022
2023-2025,"Cole, Christa",Central US,0.0021
2023-2025,"Burns, Lori",Canada,0.0021
2023-2025,"Duinker, Ben",Canada,0.0021
