keyword,drift_total,distances
note,6.0,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
counterpoint,5.885292133064719,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.8852921330647191), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
schoenberg,5.703988503592382,"[('1993-1997', '1998-2002', 0.8775255128608411), ('1998-2002', '2003-2007', 0.947295372330527), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.9246221638555591), ('2013-2017', '2018-2022', 0.9545454545454546), ('2018-2022', '2023-2027', 1.0)]"
harmony,5.682668260288787,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.9283885125960567), ('2008-2012', '2013-2017', 0.9144079014978174), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.8398718461949128)]"
voice,5.6721206945931995,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.8692559099078773), ('2008-2012', '2013-2017', 0.9258750683338899), ('2013-2017', '2018-2022', 0.9436563830180988), ('2018-2022', '2023-2027', 0.9333333333333333)]"
notation,5.666670141876063,"[('1993-1997', '1998-2002', 0.8492443277111181), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.8174258141649446)]"
transformations,5.640147867008251,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 0.9037749551350623), ('2003-2007', '2008-2012', 0.8132959887962653), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.9230769230769231), ('2018-2022', '2023-2027', 1.0)]"
data,5.561017763495387,"[('1993-1997', '1998-2002', 0.75), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8110177634953863), ('2018-2022', '2023-2027', 1.0)]"
bass,5.549103444274424,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.7113248654051871), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.8377785788692375)]"
beethoven,5.492306761555449,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.8398718461949128), ('2008-2012', '2013-2017', 0.8932478974632753), ('2013-2017', '2018-2022', 0.8567770251921134), ('2018-2022', '2023-2027', 0.9024099927051467)]"
