node,degree_centrality,betweenness_centrality,eigenvector_centrality
"Klorman, Edward",0.015514809590973202,2.988214482082666e-05,3.377543799141354e-23
"Guerrero, Jeannie Ma.",0.0014104372355430183,0.0,1.8419800719028614e-22
"Murphy, Nancy",0.00846262341325811,0.0,3.482003916640569e-25
"Lavacek, Justin",0.0,0.0,
"Ohriner, Mitchell S.",0.014104372355430182,0.0018957114803146346,0.10611132012071295
"Schultz, Rob",0.0028208744710860366,0.0,3.482003916640569e-25
"Ofcarcik, Judith",0.0014104372355430183,0.0,
"Burns, Lori",0.02679830747531735,0.007762559645134769,0.17143202768455862
"Kim, Seokyoung",0.0,0.0,
"McCreless, Patrick",0.0028208744710860366,0.0,0.026847188961674134
"Gotham, Mark",0.00846262341325811,0.0007184617691777453,0.016006132597217247
"Everett, Yayoi Uno",0.0,0.0,
"Polth, Michael",0.0,0.0,
"Gran, Jacob",0.0028208744710860366,0.0,3.482003916640569e-25
"Miller, Brian A.",0.0014104372355430183,0.0,3.482003916640569e-25
"Cubero, Diego",0.004231311706629055,5.932159119986329e-05,1.1490612924913882e-23
"Perrott, David",0.0,0.0,
"McCandless, Gregory R.",0.015514809590973202,0.0014194005135232937,0.15277404835618721
"Salley, Keith",0.009873060648801129,3.7869689563409526e-05,1.0468571084303361e-13
"Kaminsky, Peter",0.00846262341325811,0.0011510104149235418,0.027365896156962888
"Thurmaier, David",0.0,0.0,
"Baker, Michael",0.0,0.0,
"Byron, Avior",0.0,0.0,
"Reef, John S.",0.0,0.0,
"Smith, Jordan B. L.",0.0014104372355430183,0.0,3.482003916640569e-25
"Schankler, Isaac",0.0014104372355430183,0.0,3.482003916640569e-25
"Chew, Elaine",0.0014104372355430183,0.0,3.482003916640569e-25
"Heetderks, David",0.012693935119887164,0.0,3.482003916640569e-25
"Hough, Matthew T.",0.0014104372355430183,0.0,3.482003916640569e-25
"Hanninen, Dora A.",0.0,0.0,
"Trinastic, Michael K.",0.0,0.0,
"Rockwell, Joti",0.007052186177715091,0.0,0.006915610373820339
"Schaffer, John Wm.",0.0,0.0,
"Rings, Steven",0.021156558533145273,0.002295698147458803,0.014895586321528992
"Lester, Joel",0.007052186177715091,0.0,0.015433433770408015
"Shaffer, Kris P.",0.005641748942172073,3.715310186587466e-05,0.028408903817833446
"Drozzina, Aleksandra",0.0,0.0,
"Christensen, Thomas",0.0,0.0,
"Argentino, Joe",0.0,0.0,
"Nobile, Drew F.",0.015514809590973202,0.00046765556644593707,0.048383109489091566
"Huguet, Joan",0.0,0.0,
"Hilewicz, Orit",0.005641748942172073,0.00035171758773872036,0.02499044574901746
"Arkle, Genevieve Robyn",0.0,0.0,
"Morabito, Fabio",0.0,0.0,
"Adamowicz, Emily J.",0.0,0.0,
"Scholtz, Kenneth P.",0.0,0.0,
"Remeš, Derek",0.005641748942172073,8.964643446247997e-06,5.9820371552766395e-15
"Jakubowski, Joseph R",0.0028208744710860366,0.0,3.482003916640569e-25
"Clayton, Martin",0.0028208744710860366,0.0,3.482003916640569e-25
"Biamonte, Nicole",0.06488011283497884,0.011441402170594505,0.25320913604902284
"Barolsky, Daniel",0.015514809590973202,9.960714940275553e-06,1.0468565027044166e-14
"Schmalfeldt, Janet",0.009873060648801129,0.00022171444710948903,0.023365869000508802
"Friedmann, Michael",0.0,0.0,
