node,degree_centrality,betweenness_centrality,eigenvector_centrality
"Klorman, Edward",0.0014104372355430183,0.0,
"Guerrero, Jeannie Ma.",0.0,0.0,
"Murphy, Nancy",0.0,0.0,
"Lavacek, Justin",0.0,0.0,
"Ohriner, Mitchell S.",0.0,0.0,
"Schultz, Rob",0.0,0.0,
"Ofcarcik, Judith",0.0,0.0,
"Burns, Lori",0.004231311706629055,5.976428964165331e-06,
"Kim, Seokyoung",0.0,0.0,
"McCreless, Patrick",0.0,0.0,
"Gotham, Mark",0.0,0.0,
"Everett, Yayoi Uno",0.0,0.0,
"Polth, Michael",0.0,0.0,
"Gran, Jacob",0.0,0.0,
"Miller, Brian A.",0.0,0.0,
"Cubero, Diego",0.0,0.0,
"Perrott, David",0.0,0.0,
"McCandless, Gregory R.",0.0,0.0,
"Salley, Keith",0.004231311706629055,0.0,
"Kaminsky, Peter",0.0,0.0,
"Thurmaier, David",0.0,0.0,
"Baker, Michael",0.0,0.0,
"Byron, Avior",0.0,0.0,
"Reef, John S.",0.0,0.0,
"Smith, Jordan B. L.",0.005641748942172073,0.0,
"Schankler, Isaac",0.005641748942172073,0.0,
"Chew, Elaine",0.005641748942172073,0.0,
"Heetderks, David",0.0,0.0,
"Hough, Matthew T.",0.0,0.0,
"Hanninen, Dora A.",0.0,0.0,
"Trinastic, Michael K.",0.0,0.0,
"Rockwell, Joti",0.0,0.0,
"Schaffer, John Wm.",0.0,0.0,
"Rings, Steven",0.0,0.0,
"Lester, Joel",0.0,0.0,
"Shaffer, Kris P.",0.00846262341325811,0.0,
"Drozzina, Aleksandra",0.0,0.0,
"Christensen, Thomas",0.0,0.0,
"Argentino, Joe",0.0,0.0,
"Nobile, Drew F.",0.0,0.0,
"Huguet, Joan",0.0,0.0,
"Hilewicz, Orit",0.0,0.0,
"Arkle, Genevieve Robyn",0.0,0.0,
"Morabito, Fabio",0.0,0.0,
"Adamowicz, Emily J.",0.0,0.0,
"Scholtz, Kenneth P.",0.0,0.0,
"Remeš, Derek",0.0,0.0,
"Jakubowski, Joseph R",0.0,0.0,
"Clayton, Martin",0.0,0.0,
"Biamonte, Nicole",0.007052186177715091,0.0,2.313839337326744e-10
"Barolsky, Daniel",0.0014104372355430183,0.0,
"Schmalfeldt, Janet",0.0,0.0,
"Friedmann, Michael",0.0,0.0,
"Williams, Keith J. Waters and J. Kent",0.0,0.0,
"Kovaciny, Stephen M.",0.0,0.0,
"Walker, Jonathan",0.0,0.0,
"Royal, Matthew S.",0.0,0.0,
"Guido, Massimiliano",0.0028208744710860366,0.0,
"Schubert, Peter",0.005641748942172073,3.984285976110221e-06,
"Broman, Per F.",0.0,0.0,
"Rothfarb, Lee",0.0,0.0,
"Cook, Robert C.",0.0,0.0,
"Nemire, Julie A.",0.0,0.0,
"Hannaford, Marc",0.0,0.0,
"Mastic, Timothy R.",0.0,0.0,
"Koslovsky, John",0.0,0.0,
"Schubert, Peter N.",0.0,0.0,
"Noble, Jason D. K.",0.0,0.0,
"Brasky, Jill T.",0.0,0.0,
"Rothstein, William",0.0,0.0,
"Garcia, Luis-Manuel",0.0,0.0,
"O’Donnell, Shaugn",0.0,0.0,
"J., Parkhurst",0.0,0.0,
"Roeder, John",0.0028208744710860366,0.0,
"Baragwanath, Nicholas J.",0.0,0.0,
"Traut, Donald G.",0.0,0.0,
"Ewell, Philip A.",0.0,0.0,
"Mitchell, Nathaniel",0.014104372355430182,0.0,
"Karpinski, Gary S.",0.0,0.0,
"Rusch, René",0.005641748942172073,5.976428964165331e-06,
"Stover, Chris",0.009873060648801129,1.5937143904440884e-05,
"Agawu, Kofi",0.0,0.0,
"Scotto, Ciro",0.0,0.0,
"Levy, Benjamin R.",0.0028208744710860366,0.0,
"Burns, Lori A.",0.004231311706629055,0.0,
"Lafrance, Marc",0.004231311706629055,7.968571952220442e-06,
"M.A., Laura Hawley",0.004231311706629055,0.0,
"Kopp, David",0.0,0.0,
"Principi, Dylan",0.0,0.0,
"Stoia, Nicholas",0.0,0.0,
"Wennerstrom, Mary",0.0,0.0,
"Cook, Nicholas",0.0,0.0,
"Osborn, Brad",0.0,0.0,
"Temperley, David",0.0028208744710860366,0.0,
"Smoliar, Stephen",0.0,0.0,
"Bugallo, Helena",0.0,0.0,
"Nicolas, Patrice",0.0,0.0,
"Adams, Kyle",0.0,0.0,
"Hesselink, Nathan D.",0.0,0.0,
"Koozin, Timothy",0.0,0.0,
"Childs, Adrian P.",0.0,0.0,
"Casacuberta, David",0.0,0.0,
"Neidhöfer, Christoph",0.0,0.0,
"Hoeckner, Berthold",0.0,0.0,
"Kuusi, Tuire",0.0,0.0,
"Aziz, Andrew I.",0.0,0.0,
"Carlson, Mark",0.0,0.0,
"Cook, Karen M.",0.0,0.0,
"Momii, Toru",0.0,0.0,
"Godøy, Rolf Inge",0.0,0.0,
"Chiu, Matt",0.0,0.0,
"Waters, Keith",0.005641748942172073,0.0,
"Lundberg, Mattias",0.0,0.0,
"Collins, Nick",0.0,0.0,
"Ramirez, Miguel J.",0.0,0.0,
"Margulis, Elizabeth Hellmuth",0.014104372355430182,0.0,
"Miller, Natalie",0.014104372355430182,0.0,
"Windholz, Mauro Orsini",0.014104372355430182,0.0,
"Williams, Jamal",0.014104372355430182,0.0,
"McAuley, J. Devin",0.014104372355430182,0.0,
"Damschroder, David A.",0.0,0.0,
"Wang, Anna Yu",0.005641748942172073,0.0,
"Wang, Dan",0.0,0.0,
"Rodgers, Stephen",0.007052186177715091,3.984285976110221e-06,
"Scotto, Ciro G.",0.0,0.0,
"Short, Rachel",0.0,0.0,
"Hope, Henry",0.0,0.0,
"Covach, John R.",0.0,0.0,
"Comen, Craig",0.0,0.0,
"Scherzinger, Martin",0.0,0.0,
"Platt, Heather",0.0,0.0,
"Francis, Kimberly A.",0.0,0.0,
"Belcher, Owen",0.005641748942172073,0.0,
"Kim, Catrina",0.005641748942172073,0.0,
"Reese, Alan",0.005641748942172073,0.0,
"Micchelli, Mark",0.0,0.0,
"Richards, Mark",0.0,0.0,
"Ng, Samuel",0.0,0.0,
"Link, John",0.0,0.0,
"Ferrandino, Matthew E.",0.0,0.0,
"Wai-Ling, Cheong",0.0,0.0,
"Sauer, Amanda Stringer",0.0,0.0,
"Boyd, Clifton",0.0028208744710860366,0.0,
"Duinker, Ben",0.009873060648801129,9.960714940275553e-06,1.8954971851380687e-06
"Hisama, Ellie M.",0.0,0.0,
"Tan, Daphne",0.0,0.0,
"Williams, Justin A.",0.0,0.0,
"Boone, Christine",0.0,0.0,
"Inman, Samantha M.",0.0,0.0,
"Lavengood, Megan",0.0028208744710860366,0.0,
"Williams, Evan",0.0028208744710860366,0.0,
"Christian, Bryan",0.0,0.0,
"Snyder, John L.",0.0,0.0,
"Miller, Paul V.",0.0028208744710860366,0.0,
"Cox, Christopher",0.0028208744710860366,0.0,
"J., Decker",0.0,0.0,
"Bazayev, Inessa",0.00846262341325811,9.960714940275553e-06,
"Benadon, Fernando",0.0,0.0,
"Cumming, Julie E.",0.004231311706629055,0.0,
"Wibberley, Roger",0.0,0.0,
"Shupe, Abigail",0.0,0.0,
"Shaftel, Matthew",0.0,0.0,
"Martinkus, Caitlin G.",0.0,0.0,
"Michaelsen, Garrett",0.0,0.0,
"Gjerdingen, Robert",0.0014104372355430183,0.0,
"Bourne, Janet",0.007052186177715091,5.976428964165331e-06,
"Blättler, Damian J.",0.0,0.0,
"Barna, Alyssa",0.0028208744710860366,0.0,
"Berman, Nancy M.",0.0,0.0,
"Clercq, Trevor de",0.0,0.0,
"Attas, Robin",0.0,0.0,
"Kleppinger, Stanley V.",0.0,0.0,
"Judd, Robert",0.0,0.0,
"Bakulina, Ellen",0.0,0.0,
"Braunschweig, Karl",0.0,0.0,
"BaileyShea, Matt",0.0,0.0,
"Pell, Nathan",0.0,0.0,
"Wen, Eric",0.0,0.0,
"Ho, Jocelyn",0.0,0.0,
"Brown, Stephen C.",0.0,0.0,
"Llorens, Ana",0.0,0.0,
"Kahrs, Noah",0.0,0.0,
"Nooshin, Laudan",0.0,0.0,
"Hook, Julian",0.0,0.0,
"Kutnowski, Martin",0.0,0.0,
"Covach, John",0.0,0.0,
"Vetter, Roger",0.0,0.0,
"Hier, David",0.0,0.0,
"Gann, Kyle",0.0,0.0,
"Cox, Arnie",0.0,0.0,
"Johnson, Timothy A.",0.0,0.0,
"Meeus, Nicolas",0.0,0.0,
"McLaughlin, Caroline",0.0028208744710860366,0.0,
"Fyr, Kyle",0.0,0.0,
"Rahn, Jay",0.0,0.0,
"Killam, Rosemary N.",0.0,0.0,
"Conlee, Jade",0.0028208744710860366,0.0,
"Murcott, Dominic",0.0,0.0,
"Wild, Jonathan",0.0,0.0,
"Smoliar, Stephen W.",0.0,0.0,
"Hepokoski, James",0.0,0.0,
"Malawey, Victoria",0.0,0.0,
"McFarland, Mark",0.0,0.0,
"Amiot, Emmanuel",0.0028208744710860366,0.0,
"Kraus, Joseph C.",0.0,0.0,
"Judd, Cristle Collins",0.0,0.0,
"Wadsworth, Benjamin K.",0.0,0.0,
"Krebs, Harald",0.0,0.0,
"Perry, Jeffrey",0.0,0.0,
"Wente, Allison",0.0,0.0,
"Jenkins, J. Daniel",0.0,0.0,
"Cochrane, Richard J.",0.0,0.0,
"McClary, Susan",0.0,0.0,
"Lochhead, Judith",0.0,0.0,
"Spreadborough, Kristal",0.0,0.0,
"Yust, Jason",0.0,0.0,
"London, Justin",0.0014104372355430183,0.0,
"Rabinovitch, Gilad",0.005641748942172073,5.976428964165331e-06,
"Carter-Enyi, Aaron",0.0014104372355430183,0.0,
"Forte, Allen",0.0,0.0,
"Fankhauser, Gabe",0.0028208744710860366,0.0,
"Snodgrass, Jennifer Sterling",0.0028208744710860366,0.0,
"Johnston, Blair",0.0,0.0,
"Callahan, Michael R.",0.0,0.0,
"Guez, Jonathan",0.0,0.0,
"Buchler, Michael",0.0,0.0,
"Boyle, Antares",0.00846262341325811,0.0,
"Shanahan, Daniel",0.0,0.0,
"Kozak, Mariusz",0.0,0.0,
"Martin, Nathan John",0.0,0.0,
"Stroud, Cara",0.0,0.0,
