,x0,x1,snapshot,author_id
"Klorman, Edward",-0.51900285,0.76990587,2020-2023,"Klorman, Edward"
"Guerrero, Jeannie Ma.",1.1340761,1.4039855,2020-2023,"Guerrero, Jeannie Ma."
"Murphy, Nancy",-0.8769306,-0.09544922,2020-2023,"Murphy, Nancy"
"Ohriner, Mitchell S.",-0.6499948,0.7104754,2020-2023,"Ohriner, Mitchell S."
"Schultz, Rob",-0.8690597,-0.38815475,2020-2023,"Schultz, Rob"
"Ofcarcik, Judith",2.4374893,0.18197769,2020-2023,"Ofcarcik, Judith"
"Burns, Lori",-0.685384,-0.23154233,2020-2023,"Burns, Lori"
"McCreless, Patrick",-0.81288916,-0.4135881,2020-2023,"McCreless, Patrick"
"Gotham, Mark",-0.66057795,-0.2527045,2020-2023,"Gotham, Mark"
"Miller, Brian A.",-0.15333363,1.407727,2020-2023,"Miller, Brian A."
"Cubero, Diego",-0.3241037,0.33531556,2020-2023,"Cubero, Diego"
"McCandless, Gregory R.",-0.79728746,-0.6171144,2020-2023,"McCandless, Gregory R."
"Salley, Keith",-0.76511097,0.4026091,2020-2023,"Salley, Keith"
"Kaminsky, Peter",-0.54612553,0.7434565,2020-2023,"Kaminsky, Peter"
"Smith, Jordan B. L.",0.93315566,-0.35092005,2020-2023,"Smith, Jordan B. L."
"Schankler, Isaac",0.92698646,-0.4372972,2020-2023,"Schankler, Isaac"
"Chew, Elaine",0.8607472,-0.27604437,2020-2023,"Chew, Elaine"
"Heetderks, David",-0.88767755,-0.36019126,2020-2023,"Heetderks, David"
"Hough, Matthew T.",-0.90445775,-0.31828088,2020-2023,"Hough, Matthew T."
"Rockwell, Joti",-0.7058293,-0.85344565,2020-2023,"Rockwell, Joti"
"Rings, Steven",-0.8025755,-0.02332408,2020-2023,"Rings, Steven"
"Lester, Joel",-0.2969242,1.0082561,2020-2023,"Lester, Joel"
"Shaffer, Kris P.",-0.29256746,-0.07517067,2020-2023,"Shaffer, Kris P."
"Nobile, Drew F.",-0.7411836,-0.10028993,2020-2023,"Nobile, Drew F."
"Hilewicz, Orit",-0.671629,-0.30098388,2020-2023,"Hilewicz, Orit"
"Remeš, Derek",0.3760573,0.32002518,2020-2023,"Remeš, Derek"
"Jakubowski, Joseph R",-0.5302123,0.02685026,2020-2023,"Jakubowski, Joseph R"
"Clayton, Martin",-0.48340413,-0.07524588,2020-2023,"Clayton, Martin"
