,x0,x1,snapshot,author_id
"Klorman, Edward",-0.0958066,0.10730365,full,"Klorman, Edward"
"Guerrero, Jeannie Ma.",-0.8541465,-0.40080002,full,"Guerrero, Jeannie Ma."
"Murphy, Nancy",0.19208783,0.5844457,full,"Murphy, Nancy"
"Lavacek, Justin",1.1592927,-0.44509977,full,"Lavacek, Justin"
"Ohriner, Mitchell S.",0.09157908,0.43760076,full,"Ohriner, Mitchell S."
"Schultz, Rob",0.1404568,0.73716784,full,"Schultz, Rob"
"Ofcarcik, Judith",-3.958002,0.9167352,full,"Ofcarcik, Judith"
"Burns, Lori",0.17028344,0.67869925,full,"Burns, Lori"
"Kim, Seokyoung",1.1716899,-0.4535909,full,"Kim, Seokyoung"
"McCreless, Patrick",0.12828028,0.4137887,full,"McCreless, Patrick"
"Gotham, Mark",0.014787674,0.70691264,full,"Gotham, Mark"
"Everett, Yayoi Uno",1.1755253,-0.45287374,full,"Everett, Yayoi Uno"
"Polth, Michael",1.1735356,-0.44939756,full,"Polth, Michael"
"Gran, Jacob",-0.69975424,0.01650685,full,"Gran, Jacob"
"Miller, Brian A.",-0.67153203,0.20280644,full,"Miller, Brian A."
"Cubero, Diego",-0.6154828,0.30014858,full,"Cubero, Diego"
"Perrott, David",1.1543397,-0.45038003,full,"Perrott, David"
"McCandless, Gregory R.",0.13302553,0.65414834,full,"McCandless, Gregory R."
"Salley, Keith",0.165039,0.5599525,full,"Salley, Keith"
"Kaminsky, Peter",-0.075621724,0.25313303,full,"Kaminsky, Peter"
"Thurmaier, David",1.1702051,-0.46250063,full,"Thurmaier, David"
"Baker, Michael",1.1609701,-0.46078157,full,"Baker, Michael"
"Byron, Avior",1.1737728,-0.45114222,full,"Byron, Avior"
"Reef, John S.",1.1679429,-0.4499601,full,"Reef, John S."
"Smith, Jordan B. L.",-1.1783266,-0.12925908,full,"Smith, Jordan B. L."
"Schankler, Isaac",-1.2229273,0.013992637,full,"Schankler, Isaac"
"Chew, Elaine",-1.2008836,-0.06781545,full,"Chew, Elaine"
"Heetderks, David",0.2092123,0.6204624,full,"Heetderks, David"
"Hough, Matthew T.",0.10575843,0.75138533,full,"Hough, Matthew T."
"Hanninen, Dora A.",1.1723726,-0.4426302,full,"Hanninen, Dora A."
"Trinastic, Michael K.",1.1583346,-0.4540105,full,"Trinastic, Michael K."
"Rockwell, Joti",0.07249427,0.34242913,full,"Rockwell, Joti"
"Schaffer, John Wm.",1.1600127,-0.45047158,full,"Schaffer, John Wm."
"Rings, Steven",0.14641857,0.35712466,full,"Rings, Steven"
"Lester, Joel",-0.31815648,0.038186193,full,"Lester, Joel"
"Shaffer, Kris P.",-0.42025876,0.29045054,full,"Shaffer, Kris P."
"Drozzina, Aleksandra",1.1581362,-0.446484,full,"Drozzina, Aleksandra"
"Christensen, Thomas",1.1556607,-0.45389456,full,"Christensen, Thomas"
"Argentino, Joe",1.1699055,-0.44707605,full,"Argentino, Joe"
"Nobile, Drew F.",0.13973212,0.77311194,full,"Nobile, Drew F."
"Huguet, Joan",1.1540197,-0.46401978,full,"Huguet, Joan"
"Hilewicz, Orit",0.080531,0.66349494,full,"Hilewicz, Orit"
"Arkle, Genevieve Robyn",1.149421,-0.45801222,full,"Arkle, Genevieve Robyn"
"Morabito, Fabio",1.1697578,-0.4511146,full,"Morabito, Fabio"
"Adamowicz, Emily J.",1.1555557,-0.4639425,full,"Adamowicz, Emily J."
"Scholtz, Kenneth P.",1.1736287,-0.4566076,full,"Scholtz, Kenneth P."
"Remeš, Derek",-0.41634703,0.092169374,full,"Remeš, Derek"
"Jakubowski, Joseph R",-0.10131323,0.49312237,full,"Jakubowski, Joseph R"
"Clayton, Martin",0.044709444,0.7308254,full,"Clayton, Martin"
"Biamonte, Nicole",0.2526815,0.6193601,full,"Biamonte, Nicole"
"Barolsky, Daniel",-0.11880839,0.172559,full,"Barolsky, Daniel"
"Schmalfeldt, Janet",-0.2474767,0.011109799,full,"Schmalfeldt, Janet"
"Friedmann, Michael",1.1585584,-0.4462714,full,"Friedmann, Michael"
"Williams, Keith J. Waters and J. Kent",1.1604506,-0.4460666,full,"Williams, Keith J. Waters and J. Kent"
"Kovaciny, Stephen M.",-0.93645835,-0.05978003,full,"Kovaciny, Stephen M."
"Walker, Jonathan",1.1616756,-0.46321338,full,"Walker, Jonathan"
"Royal, Matthew S.",1.1618897,-0.44401595,full,"Royal, Matthew S."
"Guido, Massimiliano",-0.23347616,0.35453966,full,"Guido, Massimiliano"
"Schubert, Peter",-0.28723943,0.3666214,full,"Schubert, Peter"
"Broman, Per F.",1.1662735,-0.4456924,full,"Broman, Per F."
"Rothfarb, Lee",1.1663277,-0.43132558,full,"Rothfarb, Lee"
"Cook, Robert C.",-0.56544435,0.59257925,full,"Cook, Robert C."
"Nemire, Julie A.",-0.9191108,0.25278482,full,"Nemire, Julie A."
"Hannaford, Marc",-0.026633024,0.32220867,full,"Hannaford, Marc"
"Mastic, Timothy R.",-3.314939,-1.5754681,full,"Mastic, Timothy R."
"Koslovsky, John",-3.7660942,0.7473633,full,"Koslovsky, John"
"Schubert, Peter N.",-0.7640374,-0.20902269,full,"Schubert, Peter N."
"Noble, Jason D. K.",-0.44006193,0.1240817,full,"Noble, Jason D. K."
"Brasky, Jill T.",1.159698,-0.46218112,full,"Brasky, Jill T."
"Rothstein, William",-0.13899803,0.46565834,full,"Rothstein, William"
"Garcia, Luis-Manuel",-0.38497078,0.42695996,full,"Garcia, Luis-Manuel"
"O’Donnell, Shaugn",-1.4186203,-0.702914,full,"O’Donnell, Shaugn"
"J., Parkhurst",1.1656663,-0.44460994,full,"J., Parkhurst"
"Roeder, John",-0.071263194,0.3222302,full,"Roeder, John"
"Baragwanath, Nicholas J.",1.1614438,-0.43384394,full,"Baragwanath, Nicholas J."
"Traut, Donald G.",-0.5622287,0.21891382,full,"Traut, Donald G."
"Ewell, Philip A.",0.21680439,0.68452525,full,"Ewell, Philip A."
"Mitchell, Nathaniel",-0.3218906,0.10202101,full,"Mitchell, Nathaniel"
"Karpinski, Gary S.",-0.76396763,0.010732353,full,"Karpinski, Gary S."
"Rusch, René",0.22055948,0.5643723,full,"Rusch, René"
"Stover, Chris",0.10441649,0.40426984,full,"Stover, Chris"
"Agawu, Kofi",0.023019671,0.532081,full,"Agawu, Kofi"
"Scotto, Ciro",1.16026,-0.43802664,full,"Scotto, Ciro"
"Levy, Benjamin R.",-0.8730693,-0.5300211,full,"Levy, Benjamin R."
